Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES :  M25 Arequipa 2 (Peru),clay,header
23.08. 21:45,Olivo R.,1,2,6,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '5']",[],['4'],[],[],2.79
23.08. 21:45,Bertran P.,2,6,3,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],['3'],[],[],[],1.40
CHALLENGER MEN - SINGLES :  Santo Domingo (Dominican Republic),clay,header
17.08. 06:10,Olivo R.,0,4,2,,,,1,2,57%,45% (15/33),48% (12/25),54% (7/13),33% (10/30),58% (11/19),75% (3/4),7,47% (27/58),43% (21/49),45% (48/107),3,33% (3/9),33% (3/9),33% (6/18),"['1', '2', '5']","['1', '2', '4']",[],[],[],1.29
17.08. 06:10,Dzumhur D.,2,6,6,,,,0,3,61%,67% (20/30),42% (8/19),25% (1/4),55% (18/33),52% (13/25),46% (6/13),6,57% (28/49),53% (31/58),55% (59/107),4,67% (6/9),67% (6/9),67% (12/18),"['1', '3']",['1'],[],[],[],3.15
16.08. 00:35,Olivo R.,2,6,6,,,,1,0,55%,83% (19/23),58% (11/19),0% (0/1),50% (16/32),68% (13/19),63% (5/8),8,71% (30/42),57% (29/51),63% (59/93),5,88% (7/8),63% (5/8),75% (12/16),[],['3'],[],[],[],1.22
16.08. 00:35,Meligeni Alves F.,0,1,3,,,,0,2,63%,50% (16/32),32% (6/19),38% (3/8),17% (4/23),42% (8/19),100% (1/1),4,43% (22/51),29% (12/42),37% (34/93),2,38% (3/8),13% (1/8),25% (4/16),"['1', '4', '6']","['3', '5']",[],[],[],4.06
13.08. 23:35,Olivo R.,2,7,6,,,,2,3,76%,74% (40/54),29% (5/17),60% (3/5),36% (12/33),56% (10/18),100% (4/4),7,63% (45/71),43% (22/51),55% (67/122),4,82% (9/11),40% (4/10),62% (13/21),['2'],['1'],[],[],[],2.80
13.08. 23:35,Draxl L.,0,5,3,,,,0,2,65%,64% (21/33),44% (8/18),0% (0/4),26% (14/54),71% (12/17),40% (2/5),5,57% (29/51),37% (26/71),45% (55/122),2,60% (6/10),18% (2/11),38% (8/21),"['2', '7']","['1', '3']",[],[],[],1.41
CHALLENGER MEN - SINGLES :  Bogota (Colombia),clay,header
06.08. 01:50,Olivo R.,0,4,4,,,,2,1,56%,77% (23/30),46% (11/24),50% (3/6),19% (7/37),50% (9/18),33% (1/3),5,63% (34/54),29% (16/55),46% (50/109),1,70% (7/10),10% (1/10),40% (8/20),['2'],"['4', '5']",[],[],[],1.64
06.08. 01:50,Sakamoto P.,2,6,6,,,,0,2,67%,81% (30/37),50% (9/18),67% (2/3),23% (7/30),54% (13/24),50% (3/6),5,71% (39/55),37% (20/54),54% (59/109),3,90% (9/10),30% (3/10),60% (12/20),[],['4'],[],[],[],2.20
CHALLENGER MEN - SINGLES :  Porto (Portugal),hard,header
30.07. 15:40,Olivo R.,0,6^5,2,,,,4,2,63%,71% (27/38),59% (13/22),0% (0/2),16% (5/32),38% (14/37),0% (0/3),6,67% (40/60),28% (19/69),46% (59/129),1,80% (8/10),0% (0/10),40% (8/20),"['1', '2']","['1', '3']",[],[],[],1.90
30.07. 15:40,Reymond A.,2,7^7,6,,,,8,1,46%,84% (27/32),62% (23/37),100% (3/3),29% (11/38),41% (9/22),100% (2/2),5,72% (50/69),33% (20/60),54% (70/129),5,100% (10/10),20% (2/10),60% (12/20),['1'],[],[],[],[],1.84
CHALLENGER MEN - SINGLES :  Porto (Portugal) - Qualification,hard,header
29.07. 17:05,Olivo R.,2,6,6,,,,0,3,53%,87% (20/23),60% (12/20),0% (0/0),38% (12/32),56% (15/27),40% (4/10),5,74% (32/43),46% (27/59),58% (59/102),5,100% (8/8),44% (4/9),71% (12/17),[],[],[],[],[],2.80
29.07. 17:05,Soriano Barrera A.,0,2,3,,,,8,3,54%,63% (20/32),44% (12/27),60% (6/10),13% (3/23),40% (8/20),0% (0/0),5,54% (32/59),26% (11/43),42% (43/102),1,56% (5/9),0% (0/8),29% (5/17),"['3', '5']","['3', '6']",[],[],[],1.41
28.07. 20:10,Olivo R.,2,6,7^11,,,,3,4,61%,71% (30/42),59% (16/27),33% (1/3),36% (16/45),59% (19/32),33% (4/12),9,67% (46/69),45% (35/77),55% (81/146),3,80% (8/10),40% (4/10),60% (12/20),[],"['3', '5', '1', '4', '6']",[],[],[],1.29
28.07. 20:10,Leote Prata V.,0,2,6^9,,,,2,2,58%,64% (29/45),41% (13/32),67% (8/12),29% (12/42),41% (11/27),67% (2/3),6,55% (42/77),33% (23/69),45% (65/146),3,60% (6/10),20% (2/10),40% (8/20),"['3', '6']","['4', '5', '2', '3', '6', '10']",[],[],[],3.43
ATP - SINGLES :  Umag (Croatia) - Qualification,clay,header
21.07. 20:35,Olivo R.,0,0,1,,,,0,2,56%,47% (9/19),20% (3/15),17% (1/6),19% (5/27),50% (8/16),0% (0/2),7,9,63% (5/8),3,35% (12/34),30% (13/43),32% (25/77),1,17% (1/6),0% (0/7),8% (1/13),"['2', '4', '6']","['3', '5']",[],[],[],4.38
21.07. 20:35,Couacaud E.,2,6,6,,,,4,0,63%,81% (22/27),50% (8/16),100% (2/2),53% (10/19),80% (12/15),83% (5/6),15,5,81% (13/16),6,70% (30/43),65% (22/34),68% (52/77),7,100% (7/7),83% (5/6),92% (12/13),[],[],[],[],[],1.22
20.07. 21:45,Olivo R.,2,6,5,6,,,2,3,64%,63% (40/63),57% (20/35),79% (11/14),36% (23/64),67% (28/42),55% (6/11),29,11,71% (17/24),7,61% (60/98),48% (51/106),54% (111/204),5,79% (11/14),43% (6/14),61% (17/28),[],"['1', '4', '6']",[],[],[],1.24
20.07. 21:45,Roca Batalla O.,1,3,7,1,,,0,3,60%,64% (41/64),33% (14/42),45% (5/11),37% (23/63),43% (15/35),21% (3/14),35,25,60% (26/43),4,52% (55/106),39% (38/98),46% (93/204),5,57% (8/14),21% (3/14),39% (11/28),"['3', '6']","['2', '4']","['2', '4']",[],[],4.06
ITF MEN - SINGLES :  M25 Telfs (Austria),clay,header
CHALLENGER MEN - SINGLES :  Ibague (Colombia),clay,header
26.06. 21:00,Olivo R.,0,6^7,1,,,,1,6,68%,69% (31/45),24% (5/21),64% (7/11),24% (8/33),46% (18/39),29% (2/7),10,55% (36/65),35% (25/71),45% (61/136),3,56% (5/9),20% (2/10),37% (7/19),"['1', '2', '1', '4', '9']","['2', '4']",[],[],[],1.59
26.06. 21:00,Aboian V.,2,7^9,6,,,,3,3,46%,76% (25/33),54% (21/39),71% (5/7),31% (14/45),76% (16/21),36% (4/11),9,65% (46/71),45% (29/65),55% (75/136),7,80% (8/10),44% (4/9),63% (12/19),"['1', '5', '1', '4']",[],[],[],[],2.28
26.06. 01:45,Olivo R.,2,6,7^7,,,,5,1,63%,68% (28/41),46% (11/24),57% (4/7),44% (16/36),61% (17/28),83% (5/6),5,60% (39/65),52% (33/64),56% (72/129),5,70% (7/10),50% (5/10),60% (12/20),['2'],"['1', '4', '2']",[],[],[],1.21
26.06. 01:45,Nunez D. A.,0,2,6^3,,,,1,5,56%,56% (20/36),39% (11/28),17% (1/6),32% (13/41),54% (13/24),43% (3/7),7,48% (31/64),40% (26/65),44% (57/129),2,50% (5/10),30% (3/10),40% (8/20),"['2', '4', '6']","['1', '4', '2', '4', '7']",[],[],[],4.21
CHALLENGER MEN - SINGLES :  Santa Cruz 2 (Bolivia),clay,header
20.06. 01:50,Olivo R.,1,2,6,3,,,1,2,47%,54% (20/37),55% (23/42),25% (2/8),38% (20/52),50% (18/36),50% (4/8),7,54% (42/78),43% (38/88),48% (80/166),3,54% (7/13),31% (4/13),42% (11/26),"['1', '3']",['3'],"['2', '4', '5']",[],[],1.67
20.06. 01:50,Prado Angelo J. C.,2,6,3,6,,,2,2,59%,62% (32/52),50% (18/36),50% (4/8),46% (17/37),45% (19/42),75% (6/8),8,57% (50/88),46% (36/78),52% (86/166),4,69% (9/13),46% (6/13),58% (15/26),[],"['2', '5']","['2', '3']",[],[],2.14
19.06. 00:45,Olivo R.,2,6,6,,,,0,6,67%,62% (18/29),36% (5/14),25% (1/4),67% (20/30),75% (9/12),88% (7/8),11,53% (23/43),69% (29/42),61% (52/85),4,63% (5/8),88% (7/8),75% (12/16),"['1', '2']",['1'],[],[],[],14.10
19.06. 00:45,Cuellar Lorberg A. E.,0,2,2,,,,0,4,71%,33% (10/30),25% (3/12),13% (1/8),38% (11/29),64% (9/14),75% (3/4),4,31% (13/42),47% (20/43),39% (33/85),1,13% (1/8),38% (3/8),25% (4/16),"['2', '3', '5', '6']","['1', '4', '6']",[],[],[],1.01
CHALLENGER MEN - SINGLES :  Lima (Peru),clay,header
11.06. 00:35,Olivo R.,0,2,1,,,,0,2,65%,53% (17/32),41% (7/17),33% (2/6),27% (8/30),26% (5/19),0% (0/5),3,49% (24/49),27% (13/49),38% (37/98),1,43% (3/7),0% (0/8),20% (3/15),"['4', '6']","['2', '5']",[],[],[],2.33
11.06. 00:35,Torres J. B.,2,6,6,,,,0,1,61%,73% (22/30),74% (14/19),100% (5/5),47% (15/32),59% (10/17),67% (4/6),7,73% (36/49),51% (25/49),62% (61/98),7,100% (8/8),57% (4/7),80% (12/15),[],[],[],[],[],1.57
CHALLENGER MEN - SINGLES :  Zagreb (Croatia),clay,header
05.06. 13:40,Olivo R.,1,7^7,2,5,,,5,3,61%,61% (43/70),51% (23/45),54% (7/13),19% (10/53),57% (25/44),43% (3/7),7,57% (66/115),36% (35/97),48% (101/212),3,63% (10/16),19% (3/16),41% (13/32),"['2', '5']","['2', '5']","['4', '6']",[],[],3.66
05.06. 13:40,Popko D.,2,6^2,6,7,,,5,4,55%,81% (43/53),43% (19/44),57% (4/7),39% (27/70),49% (22/45),46% (6/13),7,64% (62/97),43% (49/115),52% (111/212),3,81% (13/16),38% (6/16),59% (19/32),"['1', '4', '3', '6', '7']",[],['4'],[],[],1.26
CHALLENGER MEN - SINGLES :  Vicenza (Italy) - Qualification,clay,header
26.05. 15:50,Olivo R.,0,0,3,,,,0,2,58%,47% (9/19),21% (3/14),17% (1/6),19% (4/21),35% (8/23),50% (1/2),4,36% (12/33),27% (12/44),31% (24/77),2,29% (2/7),13% (1/8),20% (3/15),"['2', '4', '6']","['2', '4']",[],[],[],1.61
26.05. 15:50,Arnaboldi F.,2,6,6,,,,0,1,48%,81% (17/21),65% (15/23),50% (1/2),53% (10/19),79% (11/14),83% (5/6),13,73% (32/44),64% (21/33),69% (53/77),9,88% (7/8),71% (5/7),80% (12/15),[],['2'],[],[],[],2.24
ATP - SINGLES :  Lyon (France) - Qualification,clay,header
18.05. 14:10,Olivo R.,0,2,1,,,,0,2,58%,45% (13/29),29% (6/21),45% (5/11),33% (12/36),67% (12/18),22% (2/9),11,12,50% (8/16),4,38% (19/50),44% (24/54),41% (43/104),1,14% (1/7),25% (2/8),20% (3/15),"['1', '4', '6']","['2', '4', '5']",[],[],[],3.80
18.05. 14:10,Cachin P.,2,6,6,,,,1,3,67%,67% (24/36),33% (6/18),78% (7/9),55% (16/29),71% (15/21),55% (6/11),14,8,53% (8/15),8,56% (30/54),62% (31/50),59% (61/104),8,75% (6/8),86% (6/7),80% (12/15),['1'],['1'],[],[],[],1.27
CHALLENGER MEN - SINGLES :  Santos (Brazil),clay,header
10.05. 22:25,Olivo R.,0,6^2,1,,,,2,6,61%,54% (22/41),35% (9/26),33% (3/9),25% (9/36),59% (13/22),50% (3/6),4,46% (31/67),38% (22/58),42% (53/125),2,40% (4/10),33% (3/9),37% (7/19),"['4', '5', '6', '2', '5']","['1', '3', '6']",[],[],[],1.03
10.05. 22:25,Lingua Lavallen A. L.,2,7^7,6,,,,0,3,62%,75% (27/36),41% (9/22),50% (3/6),46% (19/41),65% (17/26),67% (6/9),6,62% (36/58),54% (36/67),58% (72/125),6,67% (6/9),60% (6/10),63% (12/19),"['4', '5', '6']",[],[],[],[],8.30
07.05. 22:05,Olivo R.,2,6,6,,,,0,1,62%,73% (19/26),69% (11/16),0% (0/1),35% (6/17),71% (17/24),63% (5/8),13,71% (30/42),56% (23/41),64% (53/83),7,88% (7/8),63% (5/8),75% (12/16),['1'],[],[],[],[],7.95
07.05. 22:05,Carou I.,0,2,2,,,,0,1,41%,65% (11/17),29% (7/24),38% (3/8),27% (7/26),31% (5/16),100% (1/1),7,44% (18/41),29% (12/42),36% (30/83),2,38% (3/8),13% (1/8),25% (4/16),"['1', '3', '5']","['1', '3']",[],[],[],1.06
CHALLENGER MEN - SINGLES :  Concepcion (Chile),clay,header
24.04. 01:30,Olivo R.,0,5,1,,,,0,3,58%,48% (14/29),43% (9/21),29% (2/7),26% (9/34),58% (15/26),40% (2/5),5,46% (23/50),40% (24/60),43% (47/110),2,44% (4/9),22% (2/9),33% (6/18),"['4', '7']","['1', '3', '5']",[],[],[],2.37
24.04. 01:30,Dutra Da Silva D.,1,7,5,,,,4,4,57%,74% (25/34),42% (11/26),60% (3/5),52% (15/29),57% (12/21),71% (5/7),13,60% (36/60),54% (27/50),57% (63/110),5,78% (7/9),56% (5/9),67% (12/18),['1'],['1'],[],[],[],1.55
CHALLENGER MEN - SINGLES :  San Miguel de Tucuman (Argentina),clay,header
19.04. 21:30,Olivo R.,1,7,3,4,,,3,6,57%,56% (30/54),28% (11/40),23% (3/13),43% (31/72),64% (21/33),47% (8/17),7,44% (41/94),50% (52/105),47% (93/199),3,38% (6/16),53% (8/15),45% (14/31),"['2', '4']","['1', '3', '5', '6']","['1', '2', '4', '6']",[],[],2.68
19.04. 21:30,Aboian V.,2,5,6,6,,,2,4,69%,57% (41/72),36% (12/33),53% (9/17),44% (24/54),73% (29/40),77% (10/13),7,50% (53/105),56% (53/94),53% (106/199),4,47% (7/15),63% (10/16),55% (17/31),"['2', '4', '7']","['1', '3']","['1', '2', '3']",[],[],1.48
18.04. 22:25,Olivo R.,2,6,6,,,,3,3,69%,73% (24/33),60% (9/15),75% (3/4),44% (12/27),58% (19/33),50% (5/10),7,69% (33/48),52% (31/60),59% (64/108),5,88% (7/8),63% (5/8),75% (12/16),[],['3'],[],[],[],3.66
