Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,478/456,433/386,38/56,3/4,4/9,0/1
2024,22/27,20/26,2/1,-,-,-
2023,29/34,27/28,2/6,-,-,-
2022,34/33,29/26,3/6,-,2/1,-
2021,26/33,22/26,4/6,-,0/1,-
2020,19/17,17/14,2/2,0/1,-,-
2019,29/30,20/20,8/8,1/2,-,-
2018,17/29,15/22,2/6,-,0/1,-
2017,24/36,20/27,4/7,-,0/2,-
2016,41/30,29/20,8/6,2/1,2/2,0/1
2015,35/32,35/29,0/2,-,0/1,-
2014,27/25,26/24,1/1,-,-,-
2013,31/31,31/27,0/3,-,0/1,-
2012,53/27,51/25,2/2,-,-,-
2011,48/42,48/42,-,-,-,-
2010,25/13,25/13,-,-,-,-
2009,12/9,12/9,-,-,-,-
2008,6/7,6/7,-,-,-,-
2007,0/1,0/1,-,-,-,-
