Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA) - Qualification,hard,header
22.08. 03:40,Vacherot V.,0,3,1,,,,9,7,66%,63% (22/35),22% (4/18),56% (5/9),20% (4/20),50% (5/10),50% (1/2),4,49% (26/53),30% (9/30),42% (35/83),1,43% (3/7),17% (1/6),31% (4/13),[],"['1', '0']",[],[],[],2.04
22.08. 03:40,Choinski J.,1,6,3,,,,1,0,67%,80% (16/20),50% (5/10),50% (1/2),37% (13/35),78% (14/18),44% (4/9),6,70% (21/30),51% (27/53),58% (48/83),3,83% (5/6),57% (4/7),69% (9/13),"['1', '0', '6', '3']","['1', '1', '3', '1']",[],[],[],1.78
21.08. 04:45,Vacherot V.,2,7^7,6,,,,11,12,52%,76% (38/50),43% (20/46),83% (10/12),35% (9/26),52% (22/42),50% (3/6),9,60% (58/96),46% (31/68),54% (89/164),3,82% (9/11),27% (3/11),55% (12/22),"['3', '4']","['2', '2', '6', '4']",[],[],[],1.22
21.08. 04:45,Bigun K.,0,6^4,4,,,,2,8,38%,65% (17/26),48% (20/42),50% (3/6),24% (12/50),57% (26/46),17% (2/12),7,54% (37/68),40% (38/96),46% (75/164),3,73% (8/11),18% (2/11),45% (10/22),"['2', '0']","['2', '1']",[],[],[],4.38
ATP - SINGLES :  Halle (Germany) - Qualification,grass,header
15.06. 16:20,Vacherot V.,0,2,2,,,,3,5,60%,57% (17/30),35% (7/20),60% (6/10),15% (5/33),36% (4/11),0% (0/0),4,48% (24/50),20% (9/44),35% (33/94),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.44
15.06. 16:20,Moutet C.,2,6,6,,,,1,2,75%,85% (28/33),64% (7/11),0% (0/0),43% (13/30),65% (13/20),40% (4/10),18,80% (35/44),52% (26/50),65% (61/94),5,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1']","['2', '1', '4', '1']",[],[],[],1.31
ATP - SINGLES :  French Open (France),clay,header
28.05. 19:45,Vacherot V.,1,6,2,2,6^2,,6,4,68%,65% (46/71),59% (20/34),44% (4/9),33% (29/88),30% (11/37),40% (2/5),26,32,52% (14/27),4,63% (66/105),32% (40/125),46% (106/230),3,74% (14/19),11% (2/19),42% (16/38),"['6', '4']",[],[],"['6', '6']",[],4.54
28.05. 19:45,Davidovich Fokina A.,3,4,6,6,7^7,,7,2,70%,67% (59/88),70% (26/37),60% (3/5),35% (25/71),41% (14/34),56% (5/9),53,43,100% (18/18),8,68% (85/125),37% (39/105),54% (124/230),5,89% (17/19),26% (5/19),58% (22/38),[],"['3', '2', '5', '2']","['3', '2', '5', '2']","['6', '5']",[],1.21
ATP - SINGLES :  French Open (France) - Qualification,clay,header
23.05. 14:40,Vacherot V.,2,7^7,7,,,,9,2,67%,70% (37/53),62% (16/26),75% (6/8),41% (18/44),35% (11/31),38% (3/8),33,31,67% (6/9),10,67% (53/79),39% (29/75),53% (82/154),3,83% (10/12),25% (3/12),54% (13/24),"['5', '5']","['3', '4', '6', '5']",[],[],[],1.38
23.05. 14:40,Harris B.,0,6^2,5,,,,3,0,59%,59% (26/44),65% (20/31),63% (5/8),30% (16/53),38% (10/26),25% (2/8),21,31,67% (4/6),7,61% (46/75),33% (26/79),47% (72/154),3,75% (9/12),17% (2/12),46% (11/24),"['4', '3']","['2', '0']",[],[],[],3.04
22.05. 13:40,Vacherot V.,2,4,6,7,,,4,5,65%,67% (53/79),50% (21/42),75% (9/12),31% (20/64),59% (24/41),40% (4/10),46,44,75% (33/44),12,61% (74/121),42% (44/105),52% (118/226),5,81% (13/16),27% (4/15),55% (17/31),[],"['2', '2', '4', '2']","['5', '4', '6', '5']",[],[],1.76
22.05. 13:40,Couacaud E.,1,6,3,5,,,12,4,61%,69% (44/64),41% (17/41),60% (6/10),33% (26/79),50% (21/42),25% (3/12),40,33,47% (8/17),4,58% (61/105),39% (47/121),48% (108/226),3,73% (11/15),19% (3/16),45% (14/31),"['3', '2']","['1', '0']","['5', '5']",[],[],2.06
20.05. 13:45,Vacherot V.,2,4,6,7,,,0,2,57%,70% (42/60),47% (21/45),67% (8/12),46% (26/56),44% (17/39),56% (5/9),25,42,64% (23/36),8,60% (63/105),45% (43/95),53% (106/200),4,75% (12/16),33% (5/15),55% (17/31),[],"['2', '0', '4', '0']","['1', '0', '5', '4', '6', '5']",[],[],1.38
