Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Paris (France),hard,header
30.10. 23:40,Griekspoor T.,0,6^2,3,,,,8,4,65%,83% (33/40),45% (10/22),0% (0/1),14% (6/42),38% (10/26),0% (0/3),20,17,75% (6/8),69% (43/62),24% (16/68),45% (59/130),5,1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],3.61
30.10. 23:40,Zverev A.,2,7^7,6,,,,9,2,62%,86% (36/42),62% (16/26),100% (3/3),18% (7/40),55% (12/22),100% (1/1),19,9,64% (9/14),76% (52/68),31% (19/62),55% (71/130),5,0,100% (11/11),10% (1/10),57% (12/21),[],"['4', '2']",[],[],[],1.30
28.10. 15:40,Griekspoor T.,2,6,6,,,,19,6,73%,97% (35/36),38% (5/13),0% (0/0),13% (3/23),50% (14/28),67% (2/3),28,19,91% (10/11),82% (40/49),33% (17/51),57% (57/100),6,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['2', '1']",[],[],[],1.21
28.10. 15:40,Darderi L.,0,3,4,,,,5,2,45%,87% (20/23),50% (14/28),33% (1/3),3% (1/36),62% (8/13),0% (0/0),13,11,71% (5/7),67% (34/51),18% (9/49),43% (43/100),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],4.54
ATP - SINGLES :  Basel (Switzerland),hard,header
22.10. 17:45,Griekspoor T.,0,4,4,,,,8,3,68%,77% (30/39),44% (8/18),50% (2/4),11% (4/35),44% (8/18),0% (0/2),24,14,56% (9/16),67% (38/57),23% (12/53),45% (50/110),3,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.46
22.10. 17:45,Stricker D.,2,6,6,,,,14,1,66%,89% (31/35),56% (10/18),100% (2/2),23% (9/39),56% (10/18),50% (2/4),21,9,73% (8/11),77% (41/53),33% (19/57),55% (60/110),7,0,100% (10/10),20% (2/10),60% (12/20),"['2', '1']","['5', '4']",[],[],[],2.78
ATP - SINGLES :  Stockholm (Sweden),hard,header
19.10. 21:30,Griekspoor T.,1,6,5,4,,,11,5,67%,75% (52/69),35% (12/34),77% (10/13),31% (18/58),44% (15/34),50% (3/6),37,38,69% (22/32),62% (64/103),36% (33/92),50% (97/195),3,3,80% (12/15),20% (3/15),50% (15/30),"['3', '2', '5', '2']","['3', '4']",[],[],[],2.89
19.10. 21:30,Dimitrov G.,2,2,7,6,,,8,5,63%,69% (40/58),56% (19/34),50% (3/6),25% (17/69),65% (22/34),23% (3/13),40,32,80% (12/15),64% (59/92),38% (39/103),50% (98/195),7,0,80% (12/15),20% (3/15),50% (15/30),[],"['2', '0', '7', '5']","['6', '4']",[],[],1.42
18.10. 22:10,Griekspoor T.,2,7,7^7,,,,13,2,67%,78% (45/58),54% (15/28),100% (3/3),32% (19/59),32% (8/25),33% (1/3),37,38,73% (19/26),70% (60/86),32% (27/84),51% (87/170),5,0,100% (12/12),8% (1/12),54% (13/24),"['7', '5']",[],[],[],[],2.14
18.10. 22:10,Ruud C.,0,5,6^5,,,,6,2,70%,68% (40/59),68% (17/25),67% (2/3),22% (13/58),46% (13/28),0% (0/3),22,24,53% (8/15),68% (57/84),30% (26/86),49% (83/170),5,2,92% (11/12),0% (0/12),46% (11/24),[],[],[],[],[],1.72
16.10. 19:10,Griekspoor T.,2,7^7,6,,,,9,1,69%,84% (32/38),47% (8/17),0% (0/1),36% (15/42),57% (20/35),30% (3/10),20,25,73% (8/11),73% (40/55),45% (35/77),57% (75/132),8,0,90% (9/10),27% (3/11),57% (12/21),"['4', '4']","['4', '3', '6', '3']",[],[],[],1.72
