Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,155/171,17/33,130/122,8/16,-,-
2024,18/20,-,18/19,0/1,-,-
2023,37/35,-,33/29,4/6,-,-
2022,22/29,0/1,19/25,3/3,-,-
2021,24/24,-,24/23,0/1,-,-
2020,14/11,-,14/11,-,-,-
2019,20/15,5/7,15/8,-,-,-
2018,9/14,5/9,4/4,0/1,-,-
2017,8/11,4/7,3/2,1/2,-,-
2016,2/7,2/4,0/1,0/2,-,-
2015,1/5,1/5,-,-,-,-
