Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,256/152,239/124,15/25,0/1,2/2,-
2024,27/22,22/16,3/4,-,2/2,-
2023,59/25,57/23,2/2,-,-,-
2022,30/18,28/16,2/2,-,-,-
2021,51/16,51/16,-,-,-,-
2020,13/20,5/3,8/16,0/1,-,-
2019,25/20,25/20,-,-,-,-
2018,31/17,31/16,0/1,-,-,-
2017,20/14,20/14,-,-,-,-
