Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,569/366,81/65,340/188,76/65,57/35,15/13
2023,9/14,0/2,2/9,4/1,3/2,-
2022,23/17,7/4,9/9,3/2,4/2,-
2021,23/13,5/2,18/7,0/1,0/1,0/2
2020,12/11,1/1,11/9,0/1,-,-
2019,32/19,-,22/14,5/4,5/1,-
2018,34/24,7/5,16/9,4/9,5/1,2/0
2017,39/23,7/4,19/11,5/4,6/3,2/1
2016,33/23,5/5,15/10,7/3,3/4,3/1
2015,49/30,10/6,26/11,8/7,5/4,0/2
2014,40/23,6/5,27/11,1/3,4/4,2/0
2013,40/26,8/5,22/12,4/4,5/3,1/2
2012,46/23,6/5,24/10,3/3,9/3,4/2
2011,39/22,3/6,22/10,7/4,6/1,1/1
2010,38/26,8/8,22/9,7/6,1/1,0/2
2009,41/23,4/2,31/15,6/6,-,-
2008,26/25,4/5,19/14,2/2,1/4,-
2007,32/13,-,22/7,10/5,0/1,-
2006,5/4,-,5/4,-,-,-
2005,7/4,-,7/4,-,-,-
2004,0/1,-,0/1,-,-,-
2003,1/2,-,1/2,-,-,-
