Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,72/83,50/63,22/20,-,-,-
2024,1/13,1/13,-,-,-,-
2023,25/24,22/18,3/6,-,-,-
2022,26/18,17/14,9/4,-,-,-
2021,2/3,2/3,-,-,-,-
2020,1/5,1/5,-,-,-,-
2019,15/15,5/6,10/9,-,-,-
2018,2/5,2/4,0/1,-,-,-
