Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,133/67,64/33,67/26,2/8,-,-
2024,29/18,24/12,3/2,2/4,-,-
2023,59/19,24/9,35/9,0/1,-,-
2022,14/13,2/3,12/7,0/3,-,-
2021,29/13,13/8,16/5,-,-,-
2020,2/4,1/1,1/3,-,-,-
