Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,48/32,-,43/29,-,1/2,4/1
2024,16/4,-,16/4,-,-,-
2023,18/16,-,13/13,-,1/2,4/1
2022,2/3,-,2/3,-,-,-
2021,8/6,-,8/6,-,-,-
2020,1/1,-,1/1,-,-,-
2019,3/2,-,3/2,-,-,-
