Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Valkusz M.,2,,,,,,[],"['5', '5']","['2', '1']",[],[],1.42
01.06.,Fajta P.,2,,,,,,"['3', '3', '5', '3']","['5', '4']",[],[],[],1.54
01.06.,Raquillet L.,0,,,,,,"['1', '0']",[],[],[],[],2.35
31.05.,Fajta P.,2,,,,,,"['3', '2', '6', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],1.25
31.05.,Filar K.,0,,,,,,"['3', '3']",[],[],[],[],3.62
30.05.,Fajta P.,2,,,,,,"['6', '4']","['3', '1']",[],[],[],1.33
30.05.,Ramskogler G.,0,,,,,,[],[],[],[],[],3.09
30.05.,Fajta P.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '5', '2']",[],[],[],1.24
30.05.,Cerny M.,0,,,,,,[],"['1', '1']",[],[],[],3.72
28.05.,Fajta P.,2,,,,,,"['3', '1']","['2', '3', '4', '3']",[],[],[],1.12
28.05.,Stenzer M.,0,,,,,,[],"['3', '1']",[],[],[],5.25
22.05.,Homberg M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '2']","['2', '0', '3', '1', '5', '1']",[],[],2.89
22.05.,Fajta P.,1,,,,,,[],"['2', '2', '4', '4']","['1', '2']",[],[],1.37
16.05.,Nikles J.,2,,,,,,"['1', '0', '3', '2']","['1', '0', '4', '1', '5', '2']",[],[],[],2.14
16.05.,Fajta P.,0,,,,,,"['2', '2']","['2', '4', '3', '5']",[],[],[],1.64
15.05.,Fajta P.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '4', '1']",[],[],[],1.40
15.05.,Ortenzi G. M.,0,,,,,,[],[],[],[],[],2.77
14.05.,Fajta P.,2,,,,,,"['1', '2', '2', '3', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.21
14.05.,Jedrzejczak J.,0,,,,,,"['2', '0', '3', '1']",[],[],[],[],4.04
01.05.,Pankin S.,1,,,,,,"['2', '0', '6', '2']",[],[],[],[],2.35
01.05.,Fajta P.,0,,,,,,[],[],[],[],[],1.54
30.04.,Fajta P.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],1.03
30.04.,Lulic N.,0,,,,,,[],[],[],[],[],9.10
15.02.,Moeller M.,2,,,,,,"['6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.34
15.02.,Fajta P.,0,,,,,,[],[],[],[],[],3.04
14.02.,Fajta P.,2,,,,,,"['2', '0']","['6', '5']",[],[],[],1.95
14.02.,Demin Y.,0,,,,,,[],[],[],[],[],1.76
13.02.,Fajta P.,2,,,,,,"['4', '5']",[],"['2', '0']",[],[],1.26
13.02.,Majdandzic M.,1,,,,,,"['3', '1']","['1', '0']",[],[],[],3.54
12.02.,Fajta P.,2,,,,,,[],"['2', '0']","['3', '2']",[],[],1.27
12.02.,Mujakic A.,1,,,,,,"['1', '0', '3', '0', '5', '0']",[],[],[],[],3.46
22.01.,Eichenseher D.,2,,,,,,"['2', '1']",[],"['5', '5']",[],[],8.20
22.01.,Fajta P.,1,,,,,,[],"['2', '0', '5', '1']","['3', '2']",[],[],1.04
14.01.,Damas M.,2,,,,,,"['3', '1', '6', '4']","['2', '0', '6', '2']",[],[],[],1.85
14.01.,Fajta P.,0,,,,,,"['3', '4']",[],[],[],[],1.85
09.01.,Gutierrez O. J.,2,,,,,,"['2', '0', '5', '3']",[],"['4', '2', '6', '2']",[],[],2.62
09.01.,Fajta P.,1,,,,,,"['3', '4', '4', '5']","['5', '3']",[],[],[],1.44
28.11.2024,Fajta P.,2,,,,,,"['2', '0']","['3', '2']",[],[],[],1.06
28.11.2024,Kountourakis I.,0,,,,,,[],"['4', '4']",[],[],[],7.32
27.11.2024,Fajta P.,2,,,,,,"['6', '4']","['6', '4']",[],[],[],1.11
27.11.2024,Cubelic K.,0,,,,,,[],[],[],[],[],5.75
20.11.2024,Petak D.,2,,,,,,"['1', '4', '3', '4']","['2', '2', '5', '3']",[],[],[],3.91
20.11.2024,Fajta P.,0,,,,,,"['2', '0', '4', '0']","['2', '1']",[],[],[],1.22
08.11.2024,Oberleitner N.,2,,,,,,[],"['2', '0', '4', '0']",[],[],[],1.87
08.11.2024,Fajta P.,0,,,,,,[],[],[],[],[],1.83
07.11.2024,Fajta P.,2,,,,,,"['4', '2']","['3', '2', '5', '4']",[],[],[],1.30
07.11.2024,Beloborodko I.,0,,,,,,[],"['3', '3']",[],[],[],3.26
