Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,343/252,99/72,154/108,59/44,15/19,16/9
2024,19/22,3/7,7/10,7/3,2/2,-
2023,25/21,11/6,10/11,1/1,1/3,2/0
2022,27/19,10/9,10/7,3/2,-,4/1
2021,6/3,-,3/2,3/1,-,-
2020,19/17,7/8,6/6,6/3,-,-
2019,28/25,8/6,12/11,4/5,4/2,0/1
2018,40/20,5/5,22/11,3/2,5/1,5/1
2017,31/31,10/7,12/15,8/7,1/2,-
2016,22/25,7/6,12/11,1/2,0/3,2/3
2015,35/30,16/8,13/13,2/5,2/3,2/1
2014,38/22,8/7,19/5,10/6,0/3,1/1
2013,46/13,14/3,25/5,7/4,-,0/1
2012,5/3,-,3/1,2/2,-,-
2011,2/1,-,-,2/1,-,-
