Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,36/46,7/7,29/39,-,-,-
2024,14/18,2/3,12/15,-,-,-
2023,20/21,5/4,15/17,-,-,-
2022,2/7,-,2/7,-,-,-
