Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Wuhan (China) - Qualification,hard,header
27.08. 04:50,Burel C.,2,0,7,7,,,2,4,67%,57% (33/58),31% (9/29),36% (5/14),53% (30/57),54% (14/26),73% (8/11),19,42,57% (12/21),6,48% (42/87),53% (44/83),51% (86/170),4,40% (6/15),53% (8/15),47% (14/30),[],"['1', '3', '2', '4', '5', '5', '7', '5']","['2', '2', '4', '4', '5', '5', '7', '5']",[],[],1.82
27.08. 04:50,Stephens S.,1,6,5,5,,,0,5,69%,47% (27/57),46% (12/26),27% (3/11),43% (25/58),69% (20/29),64% (9/14),16,42,65% (13/20),5,47% (39/83),52% (45/87),49% (84/170),9,47% (7/15),60% (9/15),53% (16/30),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '4', '1']","['1', '0', '3', '2', '5', '4']",[],[],2.02
WTA - SINGLES :  Cleveland (USA),hard,header
23.08. 00:10,Burel C.,0,2,2,,,,0,4,39%,45% (10/22),47% (16/34),62% (8/13),22% (6/27),56% (10/18),100% (1/1),5,46% (26/56),36% (16/45),42% (42/101),1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '1']",[],[],[],2.51
23.08. 00:10,Haddad Maia B.,2,6,6,,,,2,5,60%,78% (21/27),44% (8/18),0% (0/1),55% (12/22),53% (18/34),38% (5/13),9,64% (29/45),54% (30/56),58% (59/101),5,88% (7/8),63% (5/8),75% (12/16),"['2', '1', '4', '1']","['1', '0', '2', '1', '5', '2']",[],[],[],1.54
22.08. 04:10,Burel C.,2,6,6,,,,8,10,46%,72% (28/39),46% (21/46),80% (8/10),41% (16/39),72% (13/18),50% (4/8),6,58% (49/85),47% (27/57),54% (76/142),4,80% (8/10),44% (4/9),63% (12/19),"['4', '2', '5', '3', '6', '4']","['2', '0']",[],[],[],1.91
22.08. 04:10,Kenin S.,0,4,3,,,,2,5,68%,64% (25/39),28% (5/18),50% (4/8),28% (11/39),54% (25/46),20% (2/10),4,53% (30/57),42% (36/85),46% (66/142),1,56% (5/9),20% (2/10),37% (7/19),"['3', '4', '4', '5']",[],[],[],[],1.91
WTA - SINGLES :  Cincinnati (USA),hard,header
14.08. 05:10,Burel C.,1,4,6,1,,,3,7,44%,69% (25/36),43% (20/46),60% (6/10),30% (14/46),48% (20/42),38% (3/8),8,55% (45/82),39% (34/88),46% (79/170),5,67% (8/12),23% (3/13),44% (11/25),"['2', '1']","['3', '2', '5', '2']",[],[],[],2.21
14.08. 05:10,Potapova A.,2,6,2,6,,,3,6,52%,70% (32/46),52% (22/42),63% (5/8),31% (11/36),57% (26/46),40% (4/10),9,61% (54/88),45% (37/82),54% (91/170),5,77% (10/13),33% (4/12),56% (14/25),"['2', '2', '6', '4']",[],"['3', '1', '5', '1']",[],[],1.69
WTA - SINGLES :  Olympic Games (World),clay,header
29.07. 17:20,Burel C.,0,6^3,2,,,,1,2,57%,44% (23/52),53% (21/40),55% (6/11),40% (25/63),55% (16/29),30% (3/10),16,41,35% (7/20),4,48% (44/92),45% (41/92),46% (85/184),3,50% (5/10),30% (3/10),40% (8/20),"['3', '4', '4', '5', '6', '5']",[],[],[],[],2.65
29.07. 17:20,Kostyuk M.,2,7^7,6,,,,0,7,68%,60% (38/63),45% (13/29),70% (7/10),56% (29/52),48% (19/40),45% (5/11),29,38,66% (21/32),6,55% (51/92),52% (48/92),54% (99/184),4,70% (7/10),50% (5/10),60% (12/20),"['4', '2', '5', '3', '6', '6']","['1', '0', '4', '1']",[],[],[],1.49
28.07. 22:15,Burel C.,2,7^7,6,,,,4,4,48%,56% (27/48),45% (24/53),53% (8/15),50% (18/36),59% (19/32),47% (7/15),22,22,33% (4/12),6,47% (42/89),57% (38/67),51% (80/156),3,30% (3/10),70% (7/10),50% (10/20),"['3', '1', '5', '5', '6', '6']","['1', '2', '3', '2', '4', '3', '5', '4']",[],[],[],2.61
28.07. 22:15,Siniakova K.,0,6^3,4,,,,0,6,53%,50% (18/36),41% (13/32),53% (8/15),44% (21/48),55% (29/53),47% (7/15),24,31,79% (19/24),6,43% (29/67),53% (47/89),49% (76/156),2,30% (3/10),70% (7/10),50% (10/20),"['1', '0', '2', '3', '5', '4', '6', '5']","['2', '0', '3', '3', '4', '4']",[],[],[],1.50
WTA - SINGLES :  Wimbledon (United Kingdom),grass,header
03.07. 17:40,Burel C.,1,3,7,3,,,3,8,55%,59% (35/59),50% (24/48),58% (7/12),32% (20/63),46% (16/35),23% (3/13),36,61,65% (22/34),6,55% (59/107),38% (38/100),47% (97/207),3,67% (10/15),20% (3/15),43% (13/30),5165,[],"['1', '3', '4', '4', '7', '5']",[],[],[],2.23
03.07. 17:40,Kartal S.,2,6,5,6,,,0,1,64%,68% (43/63),54% (19/35),77% (10/13),41% (24/59),50% (24/48),42% (5/12),22,23,50% (15/30),8,62% (62/100),45% (48/107),53% (110/207),4,80% (12/15),33% (5/15),57% (17/30),4764,"['4', '2']","['1', '0', '3', '0']","['3', '2', '6', '3']",[],[],1.68
01.07. 20:05,Burel C.,2,6,6,,,,9,4,56%,81% (25/31),58% (14/24),100% (2/2),37% (13/35),55% (11/20),33% (3/9),18,20,100% (4/4),7,71% (39/55),44% (24/55),57% (63/110),3,100% (9/9),33% (3/9),67% (12/18),1591,"['1', '0', '5', '2']","['3', '2']",[],[],[],2.22
01.07. 20:05,Lys E.,0,2,4,,,,1,4,64%,63% (22/35),45% (9/20),67% (6/9),19% (6/31),42% (10/24),0% (0/2),6,29,0% (0/4),6,56% (31/55),29% (16/55),43% (47/110),1,67% (6/9),0% (0/9),33% (6/18),1529,[],[],[],[],[],1.68
WTA - SINGLES :  Bad Homburg (Germany),grass,header
24.06. 18:15,Burel C.,1,3,7^9,1,,,3,13,55%,56% (39/70),34% (20/58),47% (8/17),34% (16/47),53% (18/34),67% (4/6),5,46% (59/128),42% (34/81),44% (93/209),2,40% (6/15),31% (4/13),36% (10/28),"['2', '2']","['1', '0', '4', '5']","['1', '5']",[],[],4.01
24.06. 18:15,Siniakova K.,2,6,6^7,6,,,1,4,58%,66% (31/47),47% (16/34),33% (2/6),44% (31/70),66% (38/58),53% (9/17),8,58% (47/81),54% (69/128),56% (116/209),5,69% (9/13),60% (9/15),64% (18/28),"['1', '0', '3', '2', '6', '3']","['1', '1', '5', '3']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],1.26
WTA - SINGLES :  Birmingham (United Kingdom),grass,header
18.06. 20:50,Burel C.,0,3,4,,,,2,7,53%,55% (18/33),45% (13/29),43% (3/7),34% (21/61),54% (7/13),17% (2/12),3,50% (31/62),38% (28/74),43% (59/136),2,56% (5/9),20% (2/10),37% (7/19),[],"['1', '3', '2', '4']",[],[],[],2.32
18.06. 20:50,Putintseva Y.,2,6,6,,,,1,0,82%,66% (40/61),46% (6/13),83% (10/12),45% (15/33),55% (16/29),57% (4/7),8,62% (46/74),50% (31/62),57% (77/136),6,80% (8/10),44% (4/9),63% (12/19),"['5', '3']","['1', '0', '3', '0', '4', '1']",[],[],[],1.63
WTA - SINGLES :  Nottingham (United Kingdom),grass,header
10.06. 15:45,Burel C.,0,3,3,,,,0,6,55%,44% (18/41),30% (10/33),33% (4/12),46% (22/48),57% (13/23),33% (5/15),6,38% (28/74),49% (35/71),43% (63/145),2,11% (1/9),56% (5/9),33% (6/18),"['1', '1', '3', '5']","['1', '2', '2', '3', '3', '4']",[],[],[],1.63
10.06. 15:45,Saville D.,2,6,6,,,,1,5,68%,54% (26/48),43% (10/23),67% (10/15),56% (23/41),70% (23/33),67% (8/12),8,51% (36/71),62% (46/74),57% (82/145),4,44% (4/9),89% (8/9),67% (12/18),"['1', '0', '2', '1', '4', '1', '6', '3']","['2', '0', '3', '1', '4', '2', '5', '3']",[],[],[],2.31
WTA - SINGLES :  French Open (France),clay,header
27.05. 20:20,Burel C.,0,6^3,5,,,,2,2,51%,45% (20/44),40% (17/43),58% (11/19),48% (31/64),63% (17/27),44% (7/16),30,31,47% (8/17),6,43% (37/87),53% (48/91),48% (85/178),4,33% (4/12),58% (7/12),46% (11/24),"['2', '2', '3', '3', '4', '4', '6', '6']","['2', '3', '4', '3', '5', '4']",[],[],[],2.22
27.05. 20:20,Kalinskaya A.,2,7^7,7,,,,1,5,70%,52% (33/64),37% (10/27),56% (9/16),59% (26/44),60% (26/43),42% (8/19),29,36,53% (16/30),5,47% (43/91),57% (50/87),52% (93/178),4,42% (5/12),67% (8/12),54% (13/24),"['2', '1', '3', '2', '4', '3', '6', '5']","['2', '0', '4', '4', '5', '5', '7', '5']",[],[],[],1.68
WTA - SINGLES :  Strasbourg (France),clay,header
23.05. 22:45,Burel C.,0,1,3,,,,2,3,51%,58% (15/26),32% (8/25),29% (2/7),24% (7/29),50% (7/14),100% (1/1),4,45% (23/51),33% (14/43),39% (37/94),1,38% (3/8),13% (1/8),25% (4/16),[],"['3', '5']",[],[],[],5.07
23.05. 22:45,Collins D.,2,6,6,,,,0,3,67%,76% (22/29),50% (7/14),0% (0/1),42% (11/26),68% (17/25),71% (5/7),7,67% (29/43),55% (28/51),61% (57/94),5,88% (7/8),63% (5/8),75% (12/16),"['2', '0', '4', '0']","['2', '1', '5', '2', '6', '3']",[],[],[],1.18
22.05. 19:55,Burel C.,2,7^7,4,6,,,3,2,54%,70% (35/50),40% (17/42),62% (8/13),47% (36/77),52% (16/31),47% (7/15),9,57% (52/92),48% (52/108),52% (104/200),6,64% (9/14),47% (7/15),55% (16/29),"['5', '3', '6', '6']","['1', '2', '3', '4']","['2', '1', '4', '1', '6', '1']",[],[],3.74
22.05. 19:55,Svitolina E.,1,6^1,6,1,,,0,5,71%,53% (41/77),48% (15/31),53% (8/15),30% (15/50),60% (25/42),38% (5/13),9,52% (56/108),43% (40/92),48% (96/200),3,53% (8/15),36% (5/14),45% (13/29),"['4', '5', '6', '5']","['2', '0', '3', '1', '6', '4']",[],[],[],1.30
19.05. 21:10,Burel C.,2,7,0,6,,,3,13,50%,61% (31/51),49% (25/51),74% (14/19),47% (20/43),46% (11/24),56% (5/9),7,55% (56/102),46% (31/67),51% (87/169),6,62% (8/13),42% (5/12),52% (13/25),"['1', '1', '7', '5']",[],"['1', '1', '3', '1', '5', '1']",[],[],1.74
19.05. 21:10,Pliskova Ka.,1,5,6,1,,,2,7,64%,53% (23/43),54% (13/24),44% (4/9),39% (20/51),51% (26/51),26% (5/19),8,54% (36/67),45% (46/102),49% (82/169),7,58% (7/12),38% (5/13),48% (12/25),"['1', '0']","['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],2.12
WTA - SINGLES :  Rome (Italy),clay,header
08.05. 18:15,Burel C.,0,6^2,1,,,,2,3,48%,55% (17/31),53% (18/34),56% (5/9),18% (6/34),48% (13/27),33% (1/3),7,54% (35/65),31% (19/61),43% (54/126),2,60% (6/10),11% (1/9),37% (7/19),"['4', '5']",[],[],[],[],2.78
08.05. 18:15,Osaka N.,2,7^7,6,,,,8,0,56%,82% (28/34),52% (14/27),67% (2/3),45% (14/31),47% (16/34),44% (4/9),8,69% (42/61),46% (30/65),57% (72/126),6,89% (8/9),40% (4/10),63% (12/19),"['5', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],1.46
CHALLENGER WOMEN - SINGLES :  Saint Malo (France),clay,header
03.05. 19:55,Burel C.,0,3,3,,,,2,6,53%,76% (25/33),38% (11/29),57% (4/7),36% (13/36),20% (4/20),0% (0/1),6,58% (36/62),30% (17/56),45% (53/118),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.70
03.05. 19:55,Naef C.,2,6,6,,,,1,0,64%,64% (23/36),80% (16/20),100% (1/1),24% (8/33),62% (18/29),43% (3/7),6,70% (39/56),42% (26/62),55% (65/118),3,100% (9/9),33% (3/9),67% (12/18),"['5', '3']","['3', '2', '6', '3']",[],[],[],2.18
01.05. 20:45,Burel C.,2,6^4,7,6,,,3,16,51%,74% (42/57),37% (20/54),58% (7/12),40% (32/81),60% (29/48),37% (7/19),7,56% (62/111),47% (61/129),51% (123/240),3,71% (12/17),44% (7/16),58% (19/33),"['2', '1', '4', '5']","['4', '4', '5', '5', '7', '5']","['1', '1', '5', '3']",[],[],1.33
01.05. 20:45,Sonmez Z.,1,7^7,5,3,,,1,7,63%,60% (49/81),40% (19/48),63% (12/19),26% (15/57),63% (34/54),42% (5/12),7,53% (68/129),44% (49/111),49% (117/240),4,56% (9/16),29% (5/17),42% (14/33),"['2', '2', '4', '2']","['4', '3', '5', '4']","['1', '0']",[],[],3.19
29.04. 19:40,Burel C.,2,6,6,,,,2,5,50%,72% (21/29),52% (15/29),50% (2/4),44% (15/34),68% (17/25),50% (5/10),7,62% (36/58),54% (32/59),58% (68/117),5,78% (7/9),56% (5/9),67% (12/18),"['2', '2', '4', '2']","['1', '0', '4', '1', '6', '3']",[],[],[],1.37
29.04. 19:40,Jacquemot E.,0,3,3,,,,0,5,58%,56% (19/34),32% (8/25),50% (5/10),28% (8/29),48% (14/29),50% (2/4),4,46% (27/59),38% (22/58),42% (49/117),2,44% (4/9),22% (2/9),33% (6/18),"['1', '0']","['3', '5']",[],[],[],2.97
WTA - SINGLES :  Madrid (Spain),clay,header
24.04. 23:30,Burel C.,1,6,6^8,4,,,1,9,53%,55% (34/62),36% (20/56),47% (8/17),47% (34/73),66% (21/32),71% (10/14),7,46% (54/118),52% (55/105),49% (109/223),5,40% (6/15),63% (10/16),52% (16/31),"['1', '0', '2', '1', '3', '2', '5', '2', '6', '3']","['2', '0', '4', '0']","['1', '2', '2', '3', '4', '5']",[],[],2.08
24.04. 23:30,Danilovic O.,2,3,7^10,6,,,4,4,70%,53% (39/73),34% (11/32),29% (4/14),45% (28/62),64% (36/56),53% (9/17),6,48% (50/105),54% (64/118),51% (114/223),4,38% (6/16),60% (9/15),48% (15/31),"['1', '1', '2', '2', '3', '5']","['1', '4', '4', '5']","['2', '0', '3', '1', '5', '3', '6', '4']",[],[],1.75
WTA - SINGLES :  Rouen (France),clay,header
18.04. 20:40,Burel C.,1,0,6,3,,,0,4,59%,50% (22/44),42% (13/31),50% (7/14),39% (18/46),55% (17/31),40% (4/10),7,47% (35/75),45% (35/77),46% (70/152),4,42% (5/12),36% (4/11),39% (9/23),[],"['4', '2', '6', '2']","['1', '3', '3', '5']",[],[],1.68
18.04. 20:40,Ruse G.,2,6,2,6,,,3,3,60%,61% (28/46),45% (14/31),60% (6/10),50% (22/44),58% (18/31),50% (7/14),8,55% (42/77),53% (40/75),54% (82/152),6,64% (7/11),58% (7/12),61% (14/23),"['1', '0', '3', '0', '5', '0']",[],"['1', '0', '3', '0', '4', '1', '6', '3']",[],[],2.22
16.04. 19:55,Burel C.,2,3,6,6,,,1,4,65%,61% (40/66),46% (16/35),62% (8/13),50% (24/48),60% (18/30),70% (7/10),7,55% (56/101),54% (42/78),55% (98/179),5,62% (8/13),54% (7/13),58% (15/26),"['3', '4']","['1', '1', '4', '2', '5', '3']","['1', '0', '3', '0', '4', '1']",[],[],1.29
16.04. 19:55,Zavatska K.,1,6,3,2,,,0,5,62%,50% (24/48),40% (12/30),30% (3/10),39% (26/66),54% (19/35),38% (5/13),6,46% (36/78),45% (45/101),45% (81/179),3,46% (6/13),38% (5/13),42% (11/26),"['4', '2', '5', '3']","['1', '0', '3', '4']","['1', '3']",[],[],3.66
WTA - SINGLES :  Billie Jean King Cup - World Group (World) - Qualification,-,header
13.04. 17:15,Burel C.,0,5,0,,,,5,7,54%,58% (19/33),36% (10/28),50% (5/10),33% (16/49),54% (14/26),14% (1/7),17,26,0% (0/2),8,48% (29/60),40% (30/75),46% (62/135),2,44% (4/9),11% (1/9),28% (5/18),"['5', '4']",[],[],[],[],0
