Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/24,24/20,-,0/1,-,9/3
2024,10/13,8/10,-,-,-,2/3
2023,19/10,15/9,-,0/1,-,4/0
2022,1/1,1/1,-,-,-,-
2021,3/0,-,-,-,-,3/0
