Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.05.,Lobanov A.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '2']","['1', '1', '3', '1', '7', '5']",[],[],-
14.05.,Moghimi S.,1,,,,,,[],"['2', '1', '5', '4']","['1', '0', '3', '4']",[],[],-
07.05.,Vujic S.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],-
07.05.,Moghimi S.,0,,,,,,[],[],[],[],[],-
18.09.2024,Turker M. N.,2,,,,,,"['3', '1', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],-
18.09.2024,Moghimi S.,0,,,,,,"['2', '3']",[],[],[],[],-
13.09.2024,Nedelko I.,2,,,,,,"['2', '4', '3', '5']","['2', '0', '5', '1']","['2', '1', '6', '3']",[],[],-
13.09.2024,Moghimi S.,1,,,,,,"['1', '0', '4', '1', '5', '2']",[],[],[],[],-
12.09.2024,Moghimi S.,2,,,,,,"['2', '0', '3', '1', '4', '2', '6', '2']","['3', '3', '7', '5']",[],[],[],-
12.09.2024,Shrolik I.,0,,,,,,"['1', '2', '2', '3']","['1', '0']",[],[],[],-
11.09.2024,Moghimi S.,2,,,,,,[],"['2', '1', '4', '1']",[],[],[],1.55
11.09.2024,Elyasi S.,0,,,,,,[],[],[],[],[],2.35
15.06.2024,Trismuwantara G.,2,,,,,,[],"['3', '3', '6', '4']","['2', '0', '5', '5', '6', '6']",[],[],-
15.06.2024,Moghimi S.,1,,,,,,"['1', '0', '3', '0']","['2', '1']","['3', '4', '5', '4', '6', '5']",[],[],-
14.06.2024,Moghimi S.,2,,,,,,"['2', '2', '6', '4']","['2', '2', '6', '4']",[],[],[],1.13
14.06.2024,Osmont G.,0,,,,,,"['1', '0']","['1', '0']",[],[],[],5.43
10.06.2024,Alkotop M.,2,,,,,,"['1', '0', '3', '0', '4', '3', '5', '4']","['4', '5']","['1', '1', '5', '3']",[],[],-
10.06.2024,Moghimi S.,1,,,,,,"['1', '3', '3', '3', '4', '4']","['4', '2']","['1', '0']",[],[],-
16.03.2024,Ojakaar O.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.18
16.03.2024,Moghimi S.,0,,,,,,[],[],[],[],[],4.10
15.03.2024,Moghimi S.,2,,,,,,[],"['4', '4', '7', '5']","['3', '3', '6', '4']",[],[],3.50
15.03.2024,Tamm K.,1,,,,,,"['2', '0', '4', '0']","['3', '2']","['3', '2']",[],[],1.28
29.07.2023,Moghimi S.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '1']",[],[],[],-
29.07.2023,Mainguy C.,0,,,,,,[],"['3', '5']",[],[],[],-
28.07.2023,Moghimi S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '3']",[],[],[],-
28.07.2023,Silva A.,0,,,,,,[],"['2', '4']",[],[],[],-
27.07.2023,Moghimi S.,2,,,,,,"['1', '0', '3', '0', '4', '1']","['1', '0']",[],[],[],-
27.07.2023,Alhogbani A. F.,0,,,,,,"['1', '3']",[],[],[],[],-
15.06.2023,Broville M.,2,,,,,,[],[],[],[],[],-
15.06.2023,Moghimi S.,0,,,,,,[],[],[],[],[],-
14.06.2023,Moghimi S.,2,,,,,,[],[],[],[],[],2.29
14.06.2023,Stater A.,1,,,,,,[],[],[],[],[],1.57
09.06.2023,Bocchi L.,2,,,,,,[],[],[],[],[],1.33
09.06.2023,Moghimi S.,1,,,,,,[],[],[],[],[],3.10
08.06.2023,Moghimi S.,2,,,,,,[],[],[],[],[],2.38
08.06.2023,Beckley A.,0,,,,,,[],[],[],[],[],1.53
07.06.2023,Moghimi S.,2,,,,,,[],[],[],[],[],1.32
07.06.2023,Yazdani A.,1,,,,,,[],[],[],[],[],3.15
26.05.2023,Lock B.,2,,,,,,[],[],[],[],[],-
26.05.2023,Moghimi S.,0,,,,,,[],[],[],[],[],-
26.05.2023,Moghimi S.,2,,,,,,[],[],[],[],[],3.54
26.05.2023,Beckley A.,1,,,,,,[],[],[],[],[],1.26
23.05.2023,Moghimi S.,2,,,,,,[],[],[],[],[],1.71
23.05.2023,Catani L.,1,,,,,,[],[],[],[],[],2.02
17.05.2023,Beckley A.,2,,,,,,[],[],[],[],[],1.22
17.05.2023,Moghimi S.,1,,,,,,[],[],[],[],[],3.92
23.10.2021,Moghimi S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '5']","['2', '1', '4', '1', '6', '1']",[],[],-
23.10.2021,Al-Saedi A. M.,1,,,,,,[],"['2', '2', '4', '2', '6', '4']",[],[],[],-
21.10.2021,Moghimi S.,2,,,,,,"['2', '1', '4', '3', '5', '4']","['3', '2', '5', '2']",[],[],[],-
21.10.2021,Long S.,0,,,,,,"['2', '2', '4', '4']",[],[],[],[],-
18.10.2021,Moghimi S.,2,,,,,,"['1', '0', '3', '2']","['1', '0', '3', '0', '5', '4', '6', '5']",[],[],[],-
18.10.2021,Mirdzhaliev M.,0,,,,,,"['2', '2']","['1', '3', '4', '4', '5', '5']",[],[],[],-
