Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,213/172,39/36,140/110,26/22,-,8/4
2024,1/3,-,1/3,-,-,-
2023,42/35,-,36/29,3/6,-,3/0
2022,37/28,2/7,31/15,3/3,-,1/3
2021,37/27,6/8,15/12,13/7,-,3/0
2020,5/9,-,4/8,1/1,-,-
2019,27/27,8/6,19/21,-,-,-
2018,14/10,-,14/10,-,-,-
2017,9/3,-,9/3,-,-,-
2016,4/3,-,3/2,-,-,1/1
2015,10/6,6/3,4/3,-,-,-
2014,17/11,12/8,-,5/3,-,-
2013,10/9,5/4,4/4,1/1,-,-
2012,0/1,-,-,0/1,-,-
