Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/22,-,7/11,0/3,-,4/8
2024,4/5,-,4/5,-,-,-
2023,3/5,-,3/5,-,-,-
2022,0/1,-,-,0/1,-,-
2021,4/10,-,0/1,0/1,-,4/8
2020,0/1,-,-,0/1,-,-
