Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,50/54,39/34,6/7,-,-,5/13
2024,29/22,28/18,-,-,-,1/4
2023,3/9,2/6,-,-,-,1/3
2022,8/18,5/9,0/3,-,-,3/6
2021,10/5,4/1,6/4,-,-,-
