Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.04.,Aguilar Cardozo J.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '3', '4', '3', '6', '3']",[],[],[],1.11
02.04.,Simonit E.,0,,,,,,[],"['1', '1', '3', '1']",[],[],[],5.45
25.03.,Lingua Lavallen A. L.,2,,,,,,"['1', '1', '3', '1']","['2', '1', '5', '2']",[],[],[],1.14
25.03.,Simonit E.,0,,,,,,"['1', '0']",[],[],[],[],4.85
19.03.,Zarate C. M.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '6', '3']",[],[],[],-
19.03.,Simonit E.,0,,,,,,[],"['2', '4']",[],[],[],-
14.11.2024,Basel V.,2,,,,,,"['1', '3', '3', '3', '5', '3', '6', '4']","['2', '0', '3', '3', '5', '3']",[],[],[],1.85
14.11.2024,Simonit E.,0,,,,,,"['1', '0', '3', '0', '4', '5']","['1', '2', '3', '2']",[],[],[],1.85
13.11.2024,Simonit E.,2,,,,,,"['2', '1', '3', '2']","['2', '1', '3', '2']","['2', '1', '4', '3', '6', '3']",[],[],1.85
13.11.2024,Kohlmann E.,1,,,,,,"['2', '2']","['2', '2', '4', '4', '6', '4']","['2', '2']",[],[],1.85
31.10.2024,Dutra Da Silva D.,2,,,,,,"['2', '4']","['3', '1', '5', '1']","['1', '0', '5', '2']",[],[],1.15
31.10.2024,Simonit E.,1,,,,,,"['2', '1', '4', '1', '5', '2']",[],[],[],[],4.89
11.09.2024,Pecci A.,2,,,,,,"['1', '0', '4', '1']","['3', '2', '5', '4']",[],[],[],1.16
11.09.2024,Simonit E.,0,,,,,,[],"['3', '3']",[],[],[],4.76
04.09.2024,Pecci A.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['4', '4', '6', '4']",[],[],[],1.18
04.09.2024,Simonit E.,0,,,,,,"['2', '3']","['1', '0']",[],[],[],4.47
