Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,94/68,74/48,5/6,-,-,15/14
2024,22/14,22/13,0/1,-,-,-
2023,19/16,16/11,-,-,-,3/5
2022,36/19,24/10,-,-,-,12/9
2021,15/15,10/10,5/5,-,-,-
2020,0/1,0/1,-,-,-,-
2019,2/3,2/3,-,-,-,-
