Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/16,14/13,1/3,-,-,-
2024,5/5,5/5,-,-,-,-
2023,7/5,6/3,1/2,-,-,-
2022,1/3,1/2,0/1,-,-,-
2021,2/3,2/3,-,-,-,-
