Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,37/30,37/30,-,-,-,-
2024,25/20,25/20,-,-,-,-
2023,6/2,6/2,-,-,-,-
2022,6/5,6/5,-,-,-,-
2021,0/2,0/2,-,-,-,-
2019,0/1,0/1,-,-,-,-
