Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,71/67,49/40,20/23,2/4,-,-
2024,21/14,21/13,0/1,-,-,-
2023,26/26,21/13,5/12,0/1,-,-
2022,19/21,6/12,11/6,2/3,-,-
2021,5/4,1/2,4/2,-,-,-
2020,0/2,-,0/2,-,-,-
