Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,158/117,132/100,4/7,-,-,22/10
2024,36/17,30/14,2/2,-,-,4/1
2023,20/30,15/26,1/2,-,-,4/2
2022,47/28,46/23,0/1,-,-,1/4
2021,44/16,31/13,-,-,-,13/3
2020,8/16,8/16,-,-,-,-
2019,3/6,2/4,1/2,-,-,-
2016,0/4,0/4,-,-,-,-
