Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,260/211,161/128,67/42,29/39,-,3/2
2024,28/18,20/13,7/5,-,-,1/0
2023,31/15,11/7,17/7,2/1,-,1/0
2022,31/27,13/13,12/9,6/4,-,0/1
2021,14/21,8/15,5/5,-,-,1/1
2020,12/18,3/8,7/6,2/4,-,-
2019,29/33,16/17,7/4,6/12,-,-
2018,46/34,26/18,10/5,10/11,-,-
2017,57/29,54/26,-,3/3,-,-
2016,9/11,7/8,2/1,0/2,-,-
2015,3/2,3/2,-,-,-,-
2014,0/3,0/1,-,0/2,-,-
