Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.03.,Perot R.,2,,,,,,"['1', '0', '2', '1', '4', '1']","['2', '1', '6', '3']",[],[],[],1.18
19.03.,Jucha W.,0,,,,,,"['1', '1']",[],[],[],[],4.47
11.03.,Dalmasso G.,2,,,,,,[],"['2', '0']","['2', '1', '6', '5']",[],[],1.57
11.03.,Jucha W.,1,,,,,,"['4', '2']",[],"['5', '5']",[],[],2.28
15.01.,Engel J.,2,,,,,,"['4', '2']","['1', '0']",[],[],[],1.09
15.01.,Jucha W.,0,,,,,,[],[],[],[],[],6.25
22.01.2024,Furness E.,2,,,,,,8,4,48%,83% (38/46),49% (24/49),71% (5/7),31% (17/55),54% (27/50),55% (6/11),66% (62/94),42% (44/105),53% (106/199),6,0,86% (12/14),40% (6/15),62% (18/29),"['4', '4', '6', '4']","['5', '5']","['1', '0', '3', '0', '6', '1']",[],[],1.18
22.01.2024,Jucha W.,1,,,,,,9,4,52%,69% (38/55),46% (23/50),45% (5/11),17% (8/46),51% (25/49),29% (2/7),58% (61/105),34% (32/94),47% (93/199),4,0,60% (9/15),14% (2/14),38% (11/29),"['4', '3']","['1', '0']",[],[],[],4.50
30.11.2023,De Jonge D.,2,,,,,,[],[],[],[],[],1.40
30.11.2023,Jucha W.,1,,,,,,[],[],[],[],[],2.78
29.11.2023,Jucha W.,2,,,,,,[],[],[],[],[],-
29.11.2023,Karlsson Wistrand J.,0,,,,,,[],[],[],[],[],-
29.05.2022,Jucha W.,2,,,,,,[],"['1', '0', '4', '1']",[],[],[],-
29.05.2022,van Schalkwyk C. H.,0,,,,,,[],[],[],[],[],-
