Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,226/176,70/51,106/88,39/19,10/15,1/3
2024,5/6,-,2/5,-,3/1,-
2023,1/0,-,-,1/0,-,-
2022,21/15,6/5,10/7,4/0,1/3,-
2021,21/23,6/4,14/11,1/5,0/2,0/1
2020,17/12,1/3,12/6,3/3,-,1/0
2019,37/26,5/7,19/12,11/3,2/2,0/2
2018,38/19,12/5,16/13,9/0,1/1,-
2017,20/26,5/5,9/11,3/5,3/5,-
2016,27/18,10/6,11/10,6/1,0/1,-
2015,13/13,8/5,4/6,1/2,-,-
2014,18/14,9/7,9/7,-,-,-
2013,8/4,8/4,-,-,-,-
