Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,27/7,-,11/3,3/2,-,13/2
2024,5/2,-,2/1,-,-,3/1
2023,17/3,-,9/2,3/1,-,5/0
2022,5/2,-,-,0/1,-,5/1
