Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.07.,McHugh A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0']","['3', '2']",[],[],1.06
30.07.,Okonkwo O.,1,,,,,,[],"['3', '4']",[],[],[],7.40
23.07.,Bicknell B.,2,,,,,,"['5', '3']","['1', '0', '5', '2']",[],[],[],1.10
23.07.,Okonkwo O.,0,,,,,,[],[],[],[],[],5.75
15.05.,Martin D.,2,,,,,,"['2', '0', '3', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.18
15.05.,Okonkwo O.,0,,,,,,"['1', '2']",[],[],[],[],4.47
14.05.,Okonkwo O.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '5', '2', '6', '3']",[],[],[],-
14.05.,Davidov T.,0,,,,,,[],"['3', '5']",[],[],[],-
05.02.,Goncalves V.,2,,,,,,"['2', '2']","['2', '0', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],2.73
05.02.,Okonkwo O.,1,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '2']",[],[],[],1.41
25.11.2024,Schachter N.,2,,,,,,12,0,70%,82% (32/39),41% (7/17),83% (5/6),39% (24/62),64% (29/45),33% (4/12),70% (39/56),50% (53/107),56% (92/163),6,0,88% (7/8),50% (5/10),67% (12/18),"['3', '1']","['2', '1', '5', '2', '6', '3']",[],[],[],1.60
25.11.2024,Okonkwo O.,0,,,,,,10,5,58%,61% (38/62),36% (16/45),67% (8/12),18% (7/39),59% (10/17),17% (1/6),50% (54/107),30% (17/56),44% (71/163),4,0,50% (5/10),13% (1/8),33% (6/18),[],"['3', '5']",[],[],[],2.25
24.11.2024,Okonkwo O.,2,,,,,,4,1,66%,72% (21/29),73% (11/15),0% (0/1),44% (15/34),52% (11/21),67% (4/6),73% (32/44),47% (26/55),59% (58/99),5,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '5', '1']","['2', '1', '4', '1']",[],[],[],1.01
24.11.2024,Hernandez Saracho J.,0,,,,,,0,5,62%,56% (19/34),48% (10/21),33% (2/6),28% (8/29),27% (4/15),100% (1/1),53% (29/55),27% (12/44),41% (41/99),5,1,50% (4/8),11% (1/9),29% (5/17),[],"['2', '4']",[],[],[],12.80
11.11.2024,Clark E.,2,,,,,,3,2,77%,60% (45/75),59% (13/22),67% (8/12),23% (10/43),52% (17/33),67% (4/6),60% (58/97),36% (27/76),49% (85/173),8,0,73% (11/15),29% (4/14),52% (15/29),[],"['5', '3', '7', '5']","['3', '3', '5', '3']",[],[],1.59
11.11.2024,Okonkwo O.,1,,,,,,13,3,57%,77% (33/43),48% (16/33),33% (2/6),40% (30/75),41% (9/22),33% (4/12),64% (49/76),40% (39/97),51% (88/173),2,0,71% (10/14),27% (4/15),48% (14/29),"['2', '1', '5', '2']","['4', '5']","['2', '1']",[],[],2.27
11.11.2024,Okonkwo O.,2,,,,,,8,3,60%,78% (31/40),48% (13/27),67% (2/3),41% (18/44),44% (11/25),50% (3/6),66% (44/67),42% (29/69),54% (73/136),8,0,91% (10/11),27% (3/11),59% (13/22),"['4', '3', '5', '4']","['6', '5']",[],[],[],5.18
11.11.2024,Svajda T.,0,,,,,,2,0,64%,59% (26/44),56% (14/25),50% (3/6),23% (9/40),52% (14/27),33% (1/3),58% (40/69),34% (23/67),46% (63/136),2,0,73% (8/11),9% (1/11),41% (9/22),"['4', '4']",[],[],[],[],1.14
16.10.2024,Dostanic S.,2,,,,,,"['3', '1', '6', '2']","['4', '2', '6', '2']",[],[],[],1.06
16.10.2024,Okonkwo O.,0,,,,,,[],[],[],[],[],7.75
25.09.2024,Gulin S.,2,,,,,,"['4', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],1.07
25.09.2024,Okonkwo O.,0,,,,,,[],[],[],[],[],7.21
31.07.2024,Dhokia R.,2,,,,,,[],"['1', '1', '3', '1', '6', '6']",[],[],[],1.92
31.07.2024,Okonkwo O.,1,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '4', '6', '5']",[],[],[],1.80
17.07.2024,Kingsley C.,2,,,,,,[],"['1', '0', '3', '0', '5', '0']","['4', '3', '6', '3']",[],[],1.14
17.07.2024,Okonkwo O.,1,,,,,,[],[],[],[],[],5.19
30.06.2024,Grant W.,2,,,,,,5,2,70%,86% (32/37),56% (9/16),100% (1/1),29% (13/45),56% (9/16),50% (2/4),77% (41/53),36% (22/61),55% (63/114),5,0,100% (10/10),20% (2/10),60% (12/20),"['2', '1']","['4', '3']",[],[],[],1.33
