Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,200/171,49/37,142/124,-,9/10,-
2024,21/19,13/11,8/8,-,-,-
2023,42/31,19/14,23/15,-,0/2,-
2022,15/16,-,15/15,-,0/1,-
2020,0/2,-,0/2,-,-,-
2019,29/25,7/3,17/18,-,5/4,-
2018,36/27,4/2,31/24,-,1/1,-
2017,23/16,1/1,22/15,-,-,-
2016,15/13,2/2,10/10,-,3/1,-
2015,9/12,2/2,7/9,-,0/1,-
2014,9/9,1/2,8/7,-,-,-
2013,1/1,-,1/1,-,-,-
