Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,636/413,618/364,13/35,3/8,0/6,2/0
2024,29/28,29/24,0/3,-,0/1,-
2023,38/30,35/21,3/8,-,0/1,-
2022,43/33,40/27,2/5,-,0/1,1/0
2021,43/31,39/20,2/7,1/3,0/1,1/0
2020,20/22,15/13,3/5,2/4,-,-
2019,56/31,56/27,0/2,0/1,0/1,-
2018,43/19,43/19,-,-,-,-
2017,37/39,34/33,3/5,-,0/1,-
2016,71/27,71/27,-,-,-,-
2015,59/31,59/31,-,-,-,-
2014,56/28,56/28,-,-,-,-
2013,48/23,48/23,-,-,-,-
2012,41/26,41/26,-,-,-,-
2011,31/25,31/25,-,-,-,-
2010,14/11,14/11,-,-,-,-
2009,7/8,7/8,-,-,-,-
2007,0/1,0/1,-,-,-,-
