Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,4/6,2/4,2/1,0/1,-,-
2024,3/3,1/2,2/1,-,-,-
2023,1/2,1/1,-,0/1,-,-
2022,0/1,0/1,-,-,-,-
