Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/60,18/22,21/31,-,-,4/7
2024,13/12,4/4,9/8,-,-,-
2023,9/11,2/4,6/7,-,-,1/0
2022,19/29,10/10,6/15,-,-,3/4
2021,2/7,2/3,0/1,-,-,0/3
2020,0/1,0/1,-,-,-,-
