Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,89/98,48/47,41/50,0/1,-,-
2024,16/20,14/15,2/5,-,-,-
2023,36/29,19/11,17/17,0/1,-,-
2022,21/28,10/11,11/17,-,-,-
2021,15/20,5/10,10/10,-,-,-
2020,1/1,-,1/1,-,-,-
