Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,288/228,6/12,152/110,100/66,30/40,-
2024,3/4,-,2/3,-,1/1,-
2022,3/4,-,0/2,3/2,-,-
2021,5/14,0/2,4/5,1/3,0/4,-
2020,12/11,0/3,8/4,4/4,-,-
2019,37/18,-,19/11,11/5,7/2,-
2018,14/12,-,13/8,1/0,0/4,-
2017,35/21,0/1,21/14,11/4,3/2,-
2016,17/10,-,13/7,-,4/3,-
2014,12/18,-,3/8,7/3,2/7,-
2013,26/25,-,16/11,8/11,2/3,-
2012,36/28,4/3,7/9,24/10,1/6,-
2011,48/29,2/2,37/19,6/5,3/3,-
2010,7/4,-,-,7/4,-,-
2007,5/2,-,-,-,5/2,-
2006,14/11,-,7/4,6/5,1/2,-
2005,8/13,0/1,2/5,5/6,1/1,-
2004,6/4,-,-,6/4,-,-
