Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,64/75,1/3,42/42,18/23,3/7,-
2024,19/15,-,19/14,0/1,-,-
2023,11/15,-,10/12,1/3,-,-
2022,11/13,-,4/7,7/5,0/1,-
2021,11/13,-,5/4,6/9,-,-
2019,2/4,0/1,2/2,-,0/1,-
2018,1/4,1/2,0/1,-,0/1,-
2017,0/1,-,0/1,-,-,-
2016,3/4,-,-,1/2,2/2,-
2015,6/6,-,2/1,3/3,1/2,-
