Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/8,13/6,-,1/2,-,1/0
2024,4/1,4/1,-,-,-,-
2023,10/7,9/5,-,1/2,-,-
2022,1/0,-,-,-,-,1/0
