Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,138/112,46/39,34/24,58/49,-,-
2024,18/10,9/6,-,9/4,-,-
2023,8/7,2/3,-,6/4,-,-
2022,4/2,1/1,-,3/1,-,-
2021,0/1,0/1,-,-,-,-
2020,2/1,-,-,2/1,-,-
2019,4/3,3/2,-,1/1,-,-
2018,7/11,0/2,6/7,1/2,-,-
2017,33/25,10/7,9/5,14/13,-,-
2016,32/25,11/7,15/10,6/8,-,-
2015,0/3,0/2,-,0/1,-,-
2014,20/11,3/3,4/2,13/6,-,-
2013,10/9,7/5,-,3/4,-,-
2012,0/2,-,-,0/2,-,-
2010,0/1,-,-,0/1,-,-
2009,0/1,-,-,0/1,-,-
