Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,601/424,323/226,89/57,188/138,1/3,-
2024,42/29,33/18,0/2,9/9,-,-
2023,27/27,6/8,5/7,16/12,-,-
2022,38/39,19/20,8/3,11/16,-,-
2021,33/39,17/27,0/1,16/11,-,-
2020,23/24,19/10,1/4,3/10,-,-
2019,37/35,23/17,2/5,12/12,0/1,-
2018,34/34,17/18,3/6,14/9,0/1,-
2017,65/30,34/15,16/4,14/10,1/1,-
2016,50/32,28/17,4/4,18/11,-,-
2015,67/28,41/18,19/6,7/4,-,-
2014,26/16,11/10,-,15/6,-,-
2013,58/26,25/13,14/4,19/9,-,-
2012,47/26,11/10,10/4,26/12,-,-
2011,31/22,18/13,5/2,8/7,-,-
2010,19/13,17/8,2/5,-,-,-
2009,4/4,4/4,-,-,-,-
