Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,678/388,166/119,332/179,100/46,69/37,11/7
2024,20/16,1/3,10/10,5/0,4/3,-
2023,22/19,2/3,19/13,-,1/3,-
2022,21/21,6/6,11/8,1/2,3/3,0/2
2021,37/19,8/4,23/12,-,6/3,-
2020,19/10,10/4,9/5,0/1,-,-
2019,52/17,8/3,32/9,2/2,9/2,1/1
2018,49/23,11/3,26/13,6/3,5/3,1/1
2017,56/18,9/5,35/10,5/2,5/1,2/0
2016,47/24,7/5,25/12,1/2,10/3,4/2
2015,58/28,9/3,33/18,7/3,6/3,3/1
2014,56/30,11/5,35/19,7/3,3/3,-
2013,34/32,4/8,19/14,4/6,7/4,-
2012,50/27,10/6,15/10,19/8,6/3,-
2011,46/29,11/13,15/12,20/4,-,-
2010,29/19,2/3,12/9,11/4,4/3,-
2009,43/19,21/10,13/5,9/4,-,-
2008,16/9,16/9,-,-,-,-
2007,17/23,14/21,-,3/2,-,-
2006,6/5,6/5,-,-,-,-
