Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,96/115,18/27,57/73,4/3,-,17/12
2024,16/18,1/2,14/15,1/1,-,-
2023,27/23,7/9,17/13,-,-,3/1
2022,27/34,8/11,5/12,-,-,14/11
2021,24/32,1/4,20/26,3/2,-,-
2020,2/4,1/1,1/3,-,-,-
2019,0/2,-,0/2,-,-,-
2018,0/2,-,0/2,-,-,-
