Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.08.,Schoenhaus M.,1,,,,,,1,7,51%,69% (31/45),43% (19/44),64% (9/14),31% (14/45),43% (10/23),67% (2/3),23,49,80% (4/5),56% (50/89),35% (24/68),47% (74/157),7,3,62% (8/13),18% (2/11),42% (10/24),[],"['1', '0']","['2', '0']",[],[],19.5
18.08.,Nicod J.,1,,,,,,3,2,66%,69% (31/45),57% (13/23),33% (1/3),31% (14/45),57% (25/44),36% (5/14),15,30,50% (2/4),65% (44/68),44% (39/89),53% (83/157),3,0,82% (9/11),38% (5/13),58% (14/24),"['1', '0', '3', '0', '6', '1']","['4', '4']","['1', '2']",[],[],1.59
04.08.,Cecchinato M.,2,,,,,,2,0,72%,68% (43/63),48% (12/25),29% (2/7),43% (32/75),42% (16/38),43% (6/14),31,36,80% (12/15),63% (55/88),42% (48/113),51% (103/201),7,0,71% (12/17),35% (6/17),53% (18/34),"['4', '4']","['5', '5', '7', '5']","['1', '3', '5', '5', '7', '5']",[],[],1.72
04.08.,Nicod J.,1,,,,,,3,4,66%,57% (43/75),58% (22/38),57% (8/14),32% (20/63),52% (13/25),71% (5/7),33,52,80% (8/10),58% (65/113),38% (33/88),49% (98/201),3,2,65% (11/17),29% (5/17),47% (16/34),"['3', '2', '5', '4']","['5', '4']","['1', '0', '3', '0']",[],[],2.02
03.08.,Nicod J.,2,,,,,,5,2,71%,77% (30/39),50% (8/16),67% (2/3),39% (16/41),79% (15/19),36% (4/11),19,23,100% (3/3),69% (38/55),52% (31/60),60% (69/115),5,0,89% (8/9),44% (4/9),67% (12/18),"['4', '3', '6', '3']","['3', '1', '5', '1']",[],[],[],1.12
03.08.,Dedura-Palomero M.,0,,,,,,0,7,68%,61% (25/41),21% (4/19),64% (7/11),23% (9/39),50% (8/16),33% (1/3),12,38,50% (2/4),48% (29/60),31% (17/55),40% (46/115),5,7,56% (5/9),11% (1/9),33% (6/18),[],"['2', '5']",[],[],[],5.45
30.07.,Pinnington Jones J.,2,,,,,,5,3,64%,65% (33/51),72% (21/29),50% (1/2),33% (20/60),54% (13/24),29% (2/7),68% (54/80),39% (33/84),53% (87/164),5,0,91% (10/11),18% (2/11),55% (12/22),"['4', '4']","['3', '2']",[],[],[],1.65
30.07.,Nicod J.,0,,,,,,2,4,71%,67% (40/60),46% (11/24),71% (5/7),35% (18/51),28% (8/29),50% (1/2),61% (51/84),33% (26/80),47% (77/164),5,0,82% (9/11),9% (1/11),45% (10/22),"['2', '1']",[],[],[],[],2.16
29.07.,Nicod J.,2,,,,,,1,4,51%,76% (26/34),42% (14/33),57% (4/7),34% (12/35),77% (17/22),100% (5/5),60% (40/67),51% (29/57),56% (69/124),8,0,73% (8/11),50% (5/10),62% (13/21),"['2', '0', '4', '0']","['2', '3', '3', '4', '6', '5']",[],[],[],2.18
29.07.,Dellien Velasco M. A.,0,,,,,,1,2,61%,66% (23/35),23% (5/22),0% (0/5),24% (8/34),58% (19/33),43% (3/7),49% (28/57),40% (27/67),44% (55/124),2,0,50% (5/10),27% (3/11),38% (8/21),"['2', '5']","['2', '0', '4', '2']",[],[],[],1.64
28.07.,Nicod J.,2,,,,,,2,7,53%,71% (29/41),54% (20/37),50% (3/6),33% (16/48),50% (19/38),56% (5/9),63% (49/78),41% (35/86),51% (84/164),7,0,77% (10/13),36% (5/14),56% (15/27),"['2', '1']","['2', '0', '6', '4']","['3', '1', '6', '2']",[],[],1.40
28.07.,Pieczonka F.,1,,,,,,6,5,56%,67% (32/48),50% (19/38),44% (4/9),29% (12/41),46% (17/37),50% (3/6),59% (51/86),37% (29/78),49% (80/164),3,0,64% (9/14),23% (3/13),44% (12/27),"['3', '3', '5', '3']","['1', '2']",[],[],[],2.81
27.07.,Nicod J.,2,,,,,,2,6,47%,69% (25/36),45% (18/40),50% (4/8),24% (8/34),49% (17/35),80% (4/5),57% (43/76),36% (25/69),47% (68/145),7,0,67% (8/12),31% (4/13),48% (12/25),"['3', '2', '6', '3']",[],"['3', '1', '6', '4']",[],[],-
27.07.,Klimas J.,1,,,,,,4,7,49%,76% (26/34),51% (18/35),20% (1/5),31% (11/36),55% (22/40),50% (4/8),64% (44/69),43% (33/76),53% (77/145),3,1,69% (9/13),33% (4/12),52% (13/25),[],"['1', '0', '3', '0', '5', '0']","['3', '4']",[],[],12.70
09.07.,Barsukov N.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '2', '3', '3', '6', '6']","['4', '5']",[],[],6.30
08.10.2024,Bonzi B.,2,,,,,,10,1,76%,80% (33/41),77% (10/13),0% (0/0),20% (7/35),58% (22/38),40% (2/5),80% (43/54),40% (29/73),57% (72/127),6,0,100% (10/10),20% (2/10),60% (12/20),"['3', '1', '6', '2']",[],[],[],[],1.26
08.10.2024,Nicod J.,0,,,,,,10,4,48%,80% (28/35),42% (16/38),60% (3/5),20% (8/41),23% (3/13),0% (0/0),60% (44/73),20% (11/54),43% (55/127),4,4,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],3.63
03.10.2024,Beloborodko I.,2,,,,,,"['4', '4']",[],"['2', '0', '5', '1']",[],[],8.30
03.10.2024,Nicod J.,1,,,,,,"['3', '2']","['4', '2']",[],[],[],1.05
02.10.2024,Nicod J.,2,,,,,,"['4', '2']","['1', '0', '3', '2', '5', '2']",[],[],[],1.31
02.10.2024,Mrva M.,0,,,,,,"['4', '5']","['2', '2']",[],[],[],3.20
28.09.2024,Celikbilek A.,2,,,,,,[],"['3', '3', '5', '3']","['2', '1', '5', '2', '6', '3']",[],[],2.56
28.09.2024,Nicod J.,1,,,,,,"['4', '3']","['2', '1']","['3', '5']",[],[],1.46
27.09.2024,Nicod J.,2,,,,,,"['4', '3']","['1', '0']",[],[],[],1.19
27.09.2024,Schoenhaus M.,0,,,,,,[],[],[],[],[],4.31
26.09.2024,Nicod J.,2,,,,,,"['1', '0', '2', '1', '4', '3']","['2', '1', '6', '5']","['6', '5']",[],[],1.11
26.09.2024,Callejon H. S.,1,,,,,,"['1', '1', '2', '2', '4', '4', '7', '5']","['3', '3']",[],[],[],5.74
25.09.2024,Nicod J.,2,,,,,,"['2', '1', '3', '2']","['1', '0', '3', '0']",[],[],[],1.07
25.09.2024,Krolo F.,0,,,,,,"['2', '2']","['2', '4']",[],[],[],7.70
13.09.2024,Sels J.,1,,,,,,1,0,59%,75% (15/20),64% (9/14),100% (2/2),40% (6/15),78% (7/9),100% (2/2),71% (24/34),54% (13/24),64% (37/58),8,0,100% (5/5),50% (2/4),78% (7/9),"['4', '2', '6', '2']",[],[],[],[],2.07
13.09.2024,Nicod J.,0,,,,,,1,1,63%,60% (9/15),22% (2/9),0% (0/2),25% (5/20),36% (5/14),0% (0/2),46% (11/24),29% (10/34),36% (21/58),2,0,50% (2/4),0% (0/5),22% (2/9),[],[],[],[],[],1.70
13.09.2024,Nicod J.,2,,,,,,5,1,59%,83% (34/41),54% (15/28),100% (3/3),26% (9/34),46% (11/24),67% (2/3),71% (49/69),34% (20/58),54% (69/127),7,0,100% (10/10),20% (2/10),60% (12/20),[],"['4', '2', '6', '2']",[],[],[],1.55
13.09.2024,Giustino L.,0,,,,,,2,1,59%,74% (25/34),54% (13/24),33% (1/3),17% (7/41),46% (13/28),0% (0/3),66% (38/58),29% (20/69),46% (58/127),3,1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.38
