Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,432/329,57/54,279/196,94/72,2/5,0/2
2024,23/21,1/2,18/15,4/4,-,-
2023,47/41,4/8,41/25,2/8,-,-
2022,54/32,9/7,40/21,5/4,-,-
2021,31/20,9/8,14/10,8/2,-,-
2020,2/6,-,1/4,1/2,-,-
2019,20/29,1/2,12/20,7/7,-,-
2018,24/35,0/1,16/24,7/6,1/4,-
2017,64/26,5/6,44/14,15/6,-,-
2016,31/21,3/4,23/13,5/4,-,-
2015,38/28,11/8,8/8,19/10,-,0/2
2014,24/22,6/3,11/12,7/7,-,-
2013,38/23,5/3,25/14,7/5,1/1,-
2012,20/16,3/2,13/10,4/4,-,-
2011,12/7,-,10/5,2/2,-,-
2010,4/2,-,3/1,1/1,-,-
