Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,143/156,107/112,28/33,-,-,8/11
2024,5/13,1/6,4/7,-,-,-
2023,19/32,11/23,7/8,-,-,1/1
2022,30/34,19/21,4/3,-,-,7/10
2021,59/41,48/31,11/10,-,-,-
2020,8/10,8/9,0/1,-,-,-
2019,13/11,13/11,-,-,-,-
2018,6/10,5/7,1/3,-,-,-
2017,3/5,2/4,1/1,-,-,-
