Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,137/138,89/84,21/18,20/33,-,7/3
2024,5/18,0/12,1/1,4/5,-,-
2023,37/30,25/21,5/2,4/6,-,3/1
2022,44/26,29/15,6/3,5/7,-,4/1
2021,14/18,13/12,0/1,1/5,-,-
2020,2/4,1/2,0/1,1/1,-,-
2019,5/13,2/6,1/1,2/6,-,-
2018,11/9,4/5,4/2,3/2,-,-
2017,10/15,6/8,4/5,0/1,-,0/1
2016,9/5,9/3,0/2,-,-,-
