Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,86/42,0/2,63/36,8/2,-,15/2
2024,31/12,0/1,19/9,2/1,-,10/1
2023,4/7,-,4/7,-,-,-
2022,27/10,-,16/8,6/1,-,5/1
2021,14/6,-,14/6,-,-,-
2019,6/2,0/1,6/1,-,-,-
2017,3/3,-,3/3,-,-,-
2016,1/2,-,1/2,-,-,-
