Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.06.,Velcz Z.,2,,,,,,"['4', '4', '7', '5']","['4', '2']","['3', '1', '5', '1']",[],[],1.36
11.06.,Giotis R.,1,,,,,,"['3', '2']","['3', '4', '5', '4']",[],[],[],2.94
14.05.,Obradovic D.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '5', '1']",[],[],[],1.25
14.05.,Giotis R.,0,,,,,,[],[],[],[],[],3.62
25.01.2024,Nijboer R.,2,,,,,,"['5', '5', '7', '5']","['2', '0', '4', '0']",[],[],[],1.06
25.01.2024,Giotis R.,0,,,,,,"['4', '3']",[],[],[],[],7.70
24.01.2024,Giotis R.,2,,,,,,"['3', '1', '4', '2']",[],"['1', '2', '3', '2', '4', '3', '5', '4']",[],[],3.69
24.01.2024,Juan Mano A.,1,,,,,,"['2', '3', '3', '4']","['3', '1', '6', '2']","['2', '0', '3', '3', '4', '4', '5', '5']",[],[],1.25
16.01.2024,Nijboer R.,2,,,,,,"['5', '3']","['1', '0', '5', '4']",[],[],[],1.01
16.01.2024,Giotis R.,0,,,,,,[],"['2', '2']",[],[],[],14.00
15.11.2023,Gimeno Valero C.,2,,,,,,"['1', '0']","['2', '0', '4', '0', '6', '0']","['4', '2', '6', '2']",[],[],1.05
15.11.2023,Giotis R.,1,,,,,,"['1', '1', '4', '2']",[],[],[],[],8.15
28.08.2023,Langmo C.,2,,,,,,4,1,66%,79% (37/47),63% (15/24),100% (4/4),23% (8/35),46% (13/28),33% (1/3),73% (52/71),33% (21/63),54% (73/134),100% (11/11),10% (1/10),57% (12/21),"['4', '2']",[],[],[],[],1.02
28.08.2023,Giotis R.,0,,,,,,5,3,56%,77% (27/35),54% (15/28),67% (2/3),21% (10/47),38% (9/24),0% (0/4),67% (42/63),27% (19/71),46% (61/134),90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],11.00
11.01.2023,Honda N.,2,,,,,,"['3', '1']","['3', '2', '6', '3']",[],[],[],1.49
11.01.2023,Giotis R.,0,,,,,,[],[],[],[],[],2.48
31.08.2021,Chappell N.,2,,,,,,0,0,67%,55% (26/47),70% (16/23),60% (3/5),41% (16/39),56% (14/25),67% (4/6),60% (42/70),48% (31/64),54% (73/134),80% (8/10),44% (4/9),63% (12/19),"['2', '0', '5', '1']","['1', '0', '4', '3']",[],[],[],1.21
31.08.2021,Giotis R.,0,,,,,,3,1,61%,59% (23/39),40% (10/25),33% (2/6),45% (21/47),30% (7/23),40% (2/5),52% (33/64),40% (28/70),46% (61/134),56% (5/9),20% (2/10),37% (7/19),"['2', '5']","['2', '2']",[],[],[],4.28
30.08.2021,Giotis R.,2,,,,,,3,3,65%,70% (37/53),52% (15/29),90% (9/10),28% (10/36),43% (12/28),43% (3/7),63% (52/82),39% (25/64),53% (77/146),90% (9/10),30% (3/10),60% (12/20),"['1', '0']","['4', '2', '6', '2']",[],[],[],14.50
30.08.2021,Bellucci T.,0,,,,,,2,3,56%,72% (26/36),46% (13/28),57% (4/7),30% (16/53),38% (11/29),10% (1/10),61% (39/64),37% (30/82),47% (69/146),70% (7/10),10% (1/10),40% (8/20),"['2', '2']",[],[],[],[],1.01
13.02.2020,Lopez San Martin A.,2,,,,,,"['2', '0', '6', '2']","['3', '1', '5', '1']",[],[],[],1.03
13.02.2020,Giotis R.,0,,,,,,[],[],[],[],[],11.50
12.02.2020,Giotis R.,2,,,,,,"['3', '3']","['1', '0', '6', '3']","['1', '1', '3', '3', '5', '5', '7', '5']",[],[],8.80
12.02.2020,Marti Pujolras A.,1,,,,,,"['3', '2', '4', '3', '6', '3']",[],"['1', '0', '2', '1', '4', '3']",[],[],1.06
09.01.2019,Sude J.,2,,,,,,[],[],[],[],[],-
09.01.2019,Giotis R.,0,,,,,,[],[],[],[],[],-
