Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,99/65,75/48,23/15,-,1/2,-
2024,36/19,32/15,3/3,-,1/1,-
2023,42/29,31/22,11/6,-,0/1,-
2022,16/10,11/7,5/3,-,-,-
2021,5/5,1/2,4/3,-,-,-
2020,0/2,0/2,-,-,-,-
