Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,86/75,15/16,64/46,7/13,-,-
2024,7/21,0/2,5/15,2/4,-,-
2023,30/26,2/4,25/16,3/6,-,-
2021,28/12,2/2,24/7,2/3,-,-
2019,3/2,-,3/2,-,-,-
2018,7/6,-,7/6,-,-,-
2017,8/4,8/4,-,-,-,-
2016,3/4,3/4,-,-,-,-
