Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,338/127,90/43,130/45,85/26,24-Dec,09-Jan,
2024,57/5,11-Feb,32/2,5/0,09-Jan,-,
2023,64/15,08-Mar,28-Jul,17-Feb,08-Mar,3/0,
2022,47/16,15-Apr,21-Jun,04-Mar,04-Feb,03-Jan,
2021,49/24,10-Jun,22-Oct,14-Jun,0/2,3/0,
2020,23/16,07-Mar,02-Jun,13-Jun,01-Jan,-,
2019,65/24,20-Aug,12-Jun,31-Jul,02-Mar,-,
2018,31/22,17-Dec,13-Aug,01-Feb,-,-,
2017,01-Jan,01-Jan,-,-,-,-,
2016,01-Feb,01-Feb,-,-,-,-,
2015,0/2,0/2,-,-,-,-,
