Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,287/236,177/134,94/81,13/17,-,3/4
2024,5/9,4/4,1/5,-,-,-
2023,20/28,18/22,2/5,0/1,-,-
2022,27/28,11/13,15/15,-,-,1/0
2021,23/23,17/13,1/4,4/4,-,1/2
2020,3/5,2/2,1/2,-,-,0/1
2019,19/17,16/14,2/2,-,-,1/1
2018,14/12,14/10,0/2,-,-,-
2016,29/20,19/11,10/9,-,-,-
2015,51/21,23/8,28/12,0/1,-,-
2014,35/21,19/9,9/8,7/4,-,-
2013,16/12,3/4,13/8,-,-,-
2012,24/23,19/14,3/3,2/6,-,-
2011,20/14,11/9,9/5,-,-,-
2010,0/2,-,0/1,0/1,-,-
2008,1/1,1/1,-,-,-,-
