Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Abidjan 2 (Ivory Coast),hard,header
25.04. 15:35,Chidekh C.,0,6^5,6^3,,,,6,5,58%,73% (33/45),63% (20/32),0% (0/1),30% (14/46),33% (13/39),13% (1/8),69% (53/77),32% (27/85),49% (80/162),3,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],2.11
25.04. 15:35,Berankis R.,2,7^7,7^7,,,,4,3,54%,70% (32/46),67% (26/39),88% (7/8),27% (12/45),38% (12/32),100% (1/1),68% (58/85),31% (24/77),51% (82/162),7,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],1.68
24.04. 15:40,Chidekh C.,2,3,6,6,,,5,5,54%,77% (33/43),53% (19/36),50% (2/4),40% (21/53),45% (14/31),36% (4/11),66% (52/79),42% (35/84),53% (87/163),8,0,85% (11/13),31% (4/13),58% (15/26),[],[],[],[],[],1.64
24.04. 15:40,Jones M.,1,6,4,1,,,8,2,63%,60% (32/53),55% (17/31),64% (7/11),23% (10/43),47% (17/36),50% (2/4),58% (49/84),34% (27/79),47% (76/163),2,0,69% (9/13),15% (2/13),42% (11/26),[],[],[],[],[],2.18
22.04. 15:40,Chidekh C.,2,7,4,7^7,,,5,6,57%,64% (43/67),52% (26/50),58% (7/12),23% (13/56),60% (31/52),36% (5/14),59% (69/117),41% (44/108),50% (113/225),8,0,71% (12/17),29% (5/17),50% (17/34),[],[],[],[],[],1.04
22.04. 15:40,Andre S.,1,5,6,6^2,,,15,8,52%,77% (43/56),40% (21/52),64% (9/14),36% (24/67),48% (24/50),42% (5/12),59% (64/108),41% (48/117),50% (112/225),2,0,71% (12/17),29% (5/17),50% (17/34),[],[],[],[],[],8.60
CHALLENGER MEN - SINGLES :  Abidjan (Ivory Coast),hard,header
17.04. 16:10,Chidekh C.,0,3,2,,,,4,4,50%,60% (15/25),48% (12/25),25% (1/4),20% (7/35),41% (7/17),0% (0/1),54% (27/50),27% (14/52),40% (41/102),2,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.31
17.04. 16:10,Jones M.,2,6,6,,,,10,1,67%,80% (28/35),59% (10/17),100% (1/1),40% (10/25),52% (13/25),75% (3/4),73% (38/52),46% (23/50),60% (61/102),8,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],3.26
15.04. 21:00,Chidekh C.,2,6,6,,,,2,4,54%,82% (23/28),67% (16/24),100% (4/4),28% (9/32),65% (11/17),43% (3/7),75% (39/52),41% (20/49),58% (59/101),7,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],1.14
