Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
07.07.,Vales A.,2,,,,,,1,1,62%,67% (30/45),64% (18/28),40% (2/5),32% (16/50),45% (13/29),50% (2/4),66% (48/73),37% (29/79),51% (77/152),5,0,77% (10/13),17% (2/12),48% (12/25),[],"['5', '3']","['3', '2']",[],[],2.93
07.07.,Whitehouse M.,1,,,,,,2,2,63%,68% (34/50),55% (16/29),50% (2/4),33% (15/45),36% (10/28),60% (3/5),63% (50/79),34% (25/73),49% (75/152),5,3,83% (10/12),23% (3/13),52% (13/25),"['1', '0', '3', '0', '5', '0']",[],[],[],[],1.37
11.06.,Fernandez Canovas A.,2,,,,,,[],"['3', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.66
11.06.,Whitehouse M.,1,,,,,,"['3', '2', '5', '2']","['2', '1']",[],[],[],2.11
08.05.,Broom C.,2,,,,,,"['2', '0', '4', '0']","['3', '2', '6', '3']",[],[],[],1.25
08.05.,Whitehouse M.,0,,,,,,[],[],[],[],[],3.62
06.05.,Whitehouse M.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.19
06.05.,Gusic Wan B.,0,,,,,,[],[],[],[],[],4.28
14.04.,Watt J.,2,,,,,,7,2,69%,81% (25/31),64% (9/14),100% (1/1),40% (12/30),61% (14/23),44% (4/9),76% (34/45),49% (26/53),61% (60/98),8,0,100% (8/8),50% (4/8),75% (12/16),"['4', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.75
14.04.,Whitehouse M.,0,,,,,,0,4,57%,60% (18/30),39% (9/23),56% (5/9),19% (6/31),36% (5/14),0% (0/1),51% (27/53),24% (11/45),39% (38/98),2,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.99
13.04.,Whitehouse M.,2,,,,,,4,3,63%,69% (24/35),43% (9/21),50% (2/4),56% (24/43),67% (14/21),55% (6/11),59% (33/56),59% (38/64),59% (71/120),5,0,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '2', '6', '2']","['2', '0', '5', '1', '6', '2']",[],[],[],1.58
13.04.,Ogura K.,0,,,,,,0,5,67%,44% (19/43),33% (7/21),45% (5/11),31% (11/35),57% (12/21),50% (2/4),41% (26/64),41% (23/56),41% (49/120),5,5,25% (2/8),25% (2/8),25% (4/16),"['1', '2']","['2', '5']",[],[],[],2.29
03.03.,Peniston R.,2,,,,,,3,3,50%,83% (20/24),63% (15/24),67% (2/3),38% (19/50),71% (12/17),100% (4/4),73% (35/48),46% (31/67),57% (66/115),7,0,89% (8/9),40% (4/10),63% (12/19),"['2', '1', '6', '3']","['1', '1', '6', '4']",[],[],[],1.10
