Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,209/225,14/23,113/112,67/74,15/16,-
2024,8/12,1/4,3/4,4/4,-,-
2023,13/26,0/2,7/14,2/7,4/3,-
2022,36/35,-,25/21,4/8,7/6,-
2021,18/25,5/6,7/10,6/8,0/1,-
2020,26/25,-,3/5,23/20,-,-
2019,24/22,1/2,19/13,4/6,0/1,-
2018,28/15,-,18/10,8/3,2/2,-
2017,17/15,5/3,10/9,2/3,-,-
2016,9/9,-,7/6,2/3,-,-
2015,9/15,-,5/10,4/4,0/1,-
2014,10/7,2/2,0/1,6/3,2/1,-
2013,8/6,0/1,8/4,-,0/1,-
2012,1/9,0/3,0/3,1/3,-,-
2011,2/3,-,1/2,1/1,-,-
2010,0/1,-,-,0/1,-,-
