Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,80/40,-,77/37,3/3,-,-
2024,33/12,-,33/12,-,-,-
2023,13/10,-,13/9,0/1,-,-
2022,20/8,-,17/7,3/1,-,-
2020,2/1,-,2/1,-,-,-
2019,9/7,-,9/6,0/1,-,-
2018,3/2,-,3/2,-,-,-
