Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/52,33/39,9/13,-,-,-
2024,15/16,15/16,-,-,-,-
2023,23/28,16/20,7/8,-,-,-
2022,4/8,2/3,2/5,-,-,-
