Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,412/344,265/211,141/121,0/2,1/4,5/6
2024,26/26,17/15,9/9,-,0/1,0/1
2023,39/34,20/16,17/14,-,1/2,1/2
2022,34/34,24/19,7/11,0/1,0/1,3/2
2021,46/20,21/9,25/11,-,-,-
2020,20/15,11/7,8/7,-,-,1/1
2019,33/20,12/9,21/11,-,-,-
2018,20/22,18/17,2/5,-,-,-
2017,29/25,26/23,3/2,-,-,-
2016,20/27,15/18,5/9,-,-,-
2015,45/28,37/21,8/7,-,-,-
2014,15/24,7/13,8/10,0/1,-,-
2013,41/28,23/13,18/15,-,-,-
2012,23/17,21/14,2/3,-,-,-
2011,12/10,10/9,2/1,-,-,-
2010,3/8,1/4,2/4,-,-,-
2009,6/6,2/4,4/2,-,-,-
