Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,372/230,147/67,144/106,60/24,15/28,6/5
2024,27/20,4/5,8/7,13/6,2/2,-
2023,14/16,7/6,1/7,6/3,-,-
2022,10/5,-,4/4,6/1,-,-
2020,19/12,0/1,10/7,9/4,-,-
2019,22/23,2/6,12/11,2/3,3/3,3/0
2018,37/21,12/6,16/11,5/1,4/3,-
2017,34/31,8/6,20/16,4/2,1/4,1/3
2016,45/23,10/4,23/13,8/2,2/3,2/1
2015,44/19,16/4,28/12,-,0/2,0/1
2014,41/25,17/5,18/15,5/1,1/4,-
2013,44/16,43/13,-,-,1/3,-
2012,33/14,28/9,4/3,-,1/2,-
2011,2/4,0/1,-,2/1,0/2,-
2010,0/1,0/1,-,-,-,-
