Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,267/144,188/100,60/22,18/19,-,1/3
2024,5/5,1/2,-,4/3,-,-
2023,30/23,25/15,-,5/8,-,-
2022,31/26,26/20,4/5,1/1,-,-
2021,41/18,24/7,14/7,2/1,-,1/3
2020,8/2,-,6/1,2/1,-,-
2019,26/20,15/10,7/5,4/5,-,-
2018,42/7,13/4,29/3,-,-,-
2017,29/16,29/15,0/1,-,-,-
2016,30/13,30/13,-,-,-,-
2015,9/5,9/5,-,-,-,-
2014,16/9,16/9,-,-,-,-
