Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/45,35/45,-,-,-,-
2024,11/13,11/13,-,-,-,-
2023,8/16,8/16,-,-,-,-
2022,14/8,14/8,-,-,-,-
2021,0/3,0/3,-,-,-,-
2019,1/3,1/3,-,-,-,-
2018,1/2,1/2,-,-,-,-
