Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,24/21,24/17,0/2,-,-,0/2
2024,10/14,10/10,0/2,-,-,0/2
2023,13/5,13/5,-,-,-,-
2022,1/2,1/2,-,-,-,-
