Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.09.2023,Rossi L.,2,,,,,,"['4', '2', '5', '3']","['1', '0', '3', '0', '4', '1']",[],[],[],1.59
14.09.2023,Balzerani R.,0,,,,,,"['3', '4']","['1', '3']",[],[],[],2.25
12.09.2023,Balzerani R.,2,,,,,,"['2', '0', '5', '1']","['2', '3', '4', '3']",[],[],[],2.43
12.09.2023,Arnaboldi F.,0,,,,,,"['2', '5']","['2', '0']",[],[],[],1.51
29.08.2023,Picchione A.,2,,,,,,"['1', '0', '6', '3']","['5', '3']",[],[],[],1.44
29.08.2023,Balzerani R.,0,,,,,,[],[],[],[],[],2.63
08.08.2023,Caniato C. A.,2,,,,,,"['1', '0', '6', '5']","['2', '0', '4', '2', '6', '2']","['3', '1']",[],[],3.72
08.08.2023,Balzerani R.,1,,,,,,"['1', '1', '6', '6']","['1', '2']",[],[],[],1.26
31.07.2023,Di Natale G. M.,2,,,,,,"['2', '0']","['1', '2']","['2', '2', '7', '5']",[],[],3.22
31.07.2023,Balzerani R.,1,,,,,,[],"['2', '0', '5', '3']","['2', '1']",[],[],1.31
28.07.2023,Tabacco F.,2,,,,,,"['2', '5']","['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '5', '1']",[],[],1.68
28.07.2023,Balzerani R.,1,,,,,,"['2', '0', '5', '1', '6', '2']",[],"['1', '4']",[],[],2.09
27.07.2023,Balzerani R.,2,,,,,,"['2', '0']","['1', '0', '3', '0']","['1', '0', '6', '5']",[],[],1.47
27.07.2023,Noce G. M.,1,,,,,,"['1', '2', '4', '3', '6', '3']","['3', '5']","['3', '3']",[],[],2.54
09.07.2023,Sanchez Jover C.,2,,,,,,0,2,80%,69% (35/51),38% (5/13),57% (4/7),34% (11/32),67% (20/30),83% (5/6),63% (40/64),50% (31/62),56% (71/126),70% (7/10),56% (5/9),63% (12/19),"['1', '0', '5', '2']","['2', '0', '4', '0', '5', '1']",[],[],[],1.34
09.07.2023,Balzerani R.,0,,,,,,0,7,52%,66% (21/32),33% (10/30),17% (1/6),31% (16/51),62% (8/13),43% (3/7),50% (31/62),38% (24/64),44% (55/126),44% (4/9),30% (3/10),37% (7/19),"['3', '5', '5', '5']","['1', '4']",[],[],[],3.12
16.06.2023,Speziali F.,2,,,,,,"['4', '5', '6', '5']","['4', '4']",[],[],[],3.42
16.06.2023,Balzerani R.,0,,,,,,"['2', '0', '6', '6']","['3', '2']",[],[],[],1.28
14.06.2023,Balzerani R.,2,,,,,,"['4', '3', '6', '3']","['4', '2']",[],[],[],-
14.06.2023,Rita A.,0,,,,,,[],[],[],[],[],13.20
31.05.2023,Bertola R.,2,,,,,,[],"['1', '3', '4', '4']","['1', '0', '6', '5']",[],[],1.86
31.05.2023,Balzerani R.,1,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0']","['1', '1', '6', '6']",[],[],1.85
30.05.2023,Balzerani R.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '2']","['3', '2']",[],[],1.75
30.05.2023,Capecchi D.,1,,,,,,[],"['1', '0']",[],[],[],1.97
28.05.2023,Fuele M.,2,,,,,,[],[],[],[],[],2.12
28.05.2023,Balzerani R.,0,,,,,,[],[],[],[],[],1.66
27.05.2023,Balzerani R.,2,,,,,,[],[],[],[],[],2.12
27.05.2023,Denolly C.,0,,,,,,[],[],[],[],[],1.66
26.05.2023,Balzerani R.,2,,,,,,[],[],[],[],[],2.82
26.05.2023,Gima S.,0,,,,,,[],[],[],[],[],1.39
25.05.2023,Balzerani R.,2,,,,,,[],[],[],[],[],1.48
25.05.2023,Pennaforti G.,1,,,,,,[],[],[],[],[],2.51
24.05.2023,Balzerani R.,2,,,,,,[],[],[],[],[],2.38
24.05.2023,Radulov I.,0,,,,,,[],[],[],[],[],1.53
19.05.2023,Miceli M.,2,,,,,,[],[],[],[],[],3.05
19.05.2023,Balzerani R.,0,,,,,,[],[],[],[],[],1.34
18.05.2023,Balzerani R.,2,,,,,,[],[],[],[],[],1.02
18.05.2023,Konovchuk V.,0,,,,,,[],[],[],[],[],16.00
18.04.2023,Nagal S.,2,,,,,,0,4,60%,71% (27/38),44% (11/25),50% (3/6),47% (18/38),61% (19/31),40% (6/15),60% (38/63),54% (37/69),57% (75/132),67% (6/9),67% (6/9),67% (12/18),"['2', '1', '3', '2', '6', '3']","['1', '3', '3', '3', '5', '3']",[],[],[],1.20
18.04.2023,Balzerani R.,0,,,,,,1,4,55%,53% (20/38),39% (12/31),60% (9/15),29% (11/38),56% (14/25),50% (3/6),46% (32/69),40% (25/63),43% (57/132),33% (3/9),33% (3/9),33% (6/18),"['2', '2']","['1', '0', '3', '0']",[],[],[],4.26
16.04.2023,Balzerani R.,2,,,,,,1,2,61%,75% (21/28),50% (9/18),50% (2/4),49% (17/35),54% (15/28),31% (5/16),65% (30/46),51% (32/63),57% (62/109),78% (7/9),56% (5/9),67% (12/18),"['4', '2']","['1', '0', '3', '2', '5', '2', '6', '3']",[],[],[],3.16
16.04.2023,Sultanov K.,0,,,,,,2,4,56%,51% (18/35),46% (13/28),69% (11/16),25% (7/28),50% (9/18),50% (2/4),49% (31/63),35% (16/46),43% (47/109),44% (4/9),22% (2/9),33% (6/18),[],"['1', '1', '3', '5']",[],[],[],1.33
19.03.2023,Sanchez Jover C.,2,,,,,,0,2,69%,65% (31/48),45% (10/22),25% (1/4),45% (21/47),57% (17/30),42% (5/12),59% (41/70),49% (38/77),54% (79/147),60% (6/10),60% (6/10),60% (12/20),[],[],[],[],[],1.36
19.03.2023,Balzerani R.,0,,,,,,0,2,61%,55% (26/47),43% (13/30),58% (7/12),35% (17/48),55% (12/22),75% (3/4),51% (39/77),41% (29/70),46% (68/147),40% (4/10),40% (4/10),40% (8/20),[],[],[],[],[],3.02
