Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
23.08.,Von der Schulenburg J.,2,,,,,,[],"['2', '0', '4', '2']","['2', '3', '5', '4', '6', '5']",[],[],3.30
23.08.,Ribecai M.,1,,,,,,"['1', '0', '3', '0']","['1', '2']","['3', '1', '5', '5', '6', '6']",[],[],1.30
22.08.,Ribecai M.,2,,,,,,"['1', '0', '3', '0']",[],"['3', '1', '5', '1']",[],[],1.19
22.08.,Wehnelt K.,1,,,,,,"['3', '5']",[],[],[],[],4.31
22.08.,Ribecai M.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.04
22.08.,Bellegy A.,0,,,,,,[],[],[],[],[],8.20
19.08.,Ribecai M.,2,,,,,,"['2', '1', '4', '1', '6', '2']","['2', '1', '4', '1', '6', '3']",[],[],[],-
19.08.,Venger R.,0,,,,,,"['2', '4']","['3', '5']",[],[],[],-
13.07.,Marmousez L.,2,,,,,,[],"['3', '1']","['1', '0', '4', '1', '6', '1']",[],[],1.24
13.07.,Ribecai M.,1,,,,,,"['1', '0', '5', '2']",[],[],[],[],3.72
12.07.,Ribecai M.,2,,,,,,"['1', '0', '3', '0']","['2', '3', '4', '5', '6', '5']",[],[],[],1.64
12.07.,Loge J.,0,,,,,,[],"['3', '1', '5', '3', '6', '6']",[],[],[],2.14
11.07.,Ribecai M.,2,,,,,,"['1', '0', '4', '3', '5', '4']","['3', '4', '5', '4']",[],[],[],3.96
11.07.,Artnak B.,0,,,,,,"['2', '2', '4', '4']","['2', '0']",[],[],[],1.23
10.07.,Ribecai M.,2,,,,,,"['2', '1', '3', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.63
10.07.,Pieri S.,0,,,,,,"['2', '2']",[],[],[],[],2.16
09.07.,Ribecai M.,2,,,,,,"['1', '0', '2', '1', '6', '5']","['2', '0', '5', '1']",[],[],[],1.21
09.07.,Thurner N.,0,,,,,,"['1', '1', '4', '4', '6', '6']",[],[],[],[],4.08
10.06.,Marino P.,1,,,,,,"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],3.04
10.06.,Ribecai M.,1,,,,,,"['2', '3', '4', '3', '6', '3']",[],[],[],[],1.34
04.06.,Potenza L.,2,,,,,,"['5', '4']",[],"['2', '0']",[],[],2.37
